date,currency,exchange_rate_to_inr
2024-01-29,USD,83.5976
2024-01-29,EUR,89.5352
2024-01-29,GBP,109.9803
2024-01-30,INR,1.0
2024-01-30,USD,84.0381
2024-01-30,EUR,88.6364
2024-01-30,GBP,102.3769
2024-01-31,INR,1.0
2024-01-31,USD,82.4386
2024-01-31,EUR,92.3921
2024-01-31,GBP,108.3366
2024-02-01,INR,1.0
2024-02-01,USD,83.6886
2024-02-01,EUR,88.4447
2024-02-01,GBP,105.053
2024-02-02,INR,1.0
2024-02-02,USD,85.9845
2024-02-02,EUR,91.7038
2024-02-02,GBP,109.7686
2024-02-03,INR,1.0
2024-02-03,USD,85.4431
2024-02-03,EUR,88.0804
2024-02-03,GBP,107.7658
2024-02-04,INR,1.0
2024-02-04,USD,84.7268
2024-02-04,EUR,91.7588
2024-02-04,GBP,104.1346
2024-02-05,INR,1.0
2024-02-05,USD,84.5638
2024-02-05,EUR,88.7809
2024-02-05,GBP,105.4781
2024-02-06,INR,1.0
2024-02-06,USD,83.8149
2024-02-06,EUR,94.6767
2024-02-06,GBP,109.0068
2024-02-07,INR,1.0
2024-02-07,USD,83.0536
2024-02-07,EUR,91.5041
2024-02-07,GBP,103.4292
2024-02-08,INR,1.0
2024-02-08,USD,85.6505
2024-02-08,EUR,94.0936
2024-02-08,GBP,104.3876
2024-02-09,INR,1.0
2024-02-09,USD,84.5558
2024-02-09,EUR,92.2628
2024-02-09,GBP,103.2227
2024-02-10,INR,1.0
2024-02-10,USD,85.05
2024-02-10,EUR,91.7757
2024-02-10,GBP,108.229
2024-02-11,INR,1.0
2024-02-11,USD,84.1214
2024-02-11,EUR,88.004
2024-02-11,GBP,104.5932
2024-02-12,INR,1.0
2024-02-12,USD,82.0779
2024-02-12,EUR,94.5037
2024-02-12,GBP,109.0298
2024-02-13,INR,1.0
2024-02-13,USD,85.3267
2024-02-13,EUR,90.1526
2024-02-13,GBP,102.4634
2024-02-14,INR,1.0
2024-02-14,USD,85.512
2024-02-14,EUR,94.6286
2024-02-14,GBP,102.6852
2024-02-15,INR,1.0
2024-02-15,USD,83.944
2024-02-15,EUR,88.4845
2024-02-15,GBP,108.0848
2024-02-16,INR,1.0
2024-02-16,USD,85.0633
2024-02-16,EUR,88.8987
2024-02-16,GBP,105.8023
2024-02-17,INR,1.0
2024-02-17,USD,84.1992
2024-02-17,EUR,89.8554
2024-02-17,GBP,108.9795
2024-02-18,INR,1.0
2024-02-18,USD,83.6926
2024-02-18,EUR,89.4826
2024-02-18,GBP,106.3144
2024-02-19,INR,1.0
2024-02-19,USD,84.9197
2024-02-19,EUR,89.4081
2024-02-19,GBP,104.4937
2024-02-20,INR,1.0
2024-02-20,USD,85.9806
2024-02-20,EUR,92.5491
2024-02-20,GBP,105.5048
2024-02-21,INR,1.0
2024-02-21,USD,84.0703
2024-02-21,EUR,88.847
2024-02-21,GBP,103.7976
2024-02-22,INR,1.0
2024-02-22,USD,83.3523
2024-02-22,EUR,92.1182
2024-02-22,GBP,103.8409
2024-02-23,INR,1.0
2024-02-23,USD,82.8809
2024-02-23,EUR,88.497
2024-02-23,GBP,107.0488
2024-02-24,INR,1.0
2024-02-24,USD,82.9158
2024-02-24,EUR,94.3379
2024-02-24,GBP,108.8771
2024-02-25,INR,1.0
2024-02-25,USD,82.2834
2024-02-25,EUR,89.666
2024-02-25,GBP,107.3518
2024-02-26,INR,1.0
2024-02-26,USD,82.8569
2024-02-26,EUR,88.9262
2024-02-26,GBP,109.4841
2024-02-27,INR,1.0
2024-02-27,USD,84.2842
2024-02-27,EUR,91.3087
2024-02-27,GBP,108.277
2024-02-28,INR,1.0
2024-02-28,USD,85.23
2024-02-28,EUR,89.3329
2024-02-28,GBP,102.7754
2024-02-29,INR,1.0
2024-02-29,USD,83.7242
2024-02-29,EUR,90.9651
2024-02-29,GBP,105.7362
2024-03-01,INR,1.0
2024-03-01,USD,84.9163
2024-03-01,EUR,92.7136
2024-03-01,GBP,109.8733
2024-03-02,INR,1.0
2024-03-02,USD,82.3937
2024-03-02,EUR,90.8183
2024-03-02,GBP,104.7144
2024-03-03,INR,1.0
2024-03-03,USD,85.4467
2024-03-03,EUR,89.7406
2024-03-03,GBP,103.5217
2024-03-04,INR,1.0
2024-03-04,USD,83.7945
2024-03-04,EUR,90.9532
2024-03-04,GBP,104.2284
2024-03-05,INR,1.0
2024-03-05,USD,82.9992
2024-03-05,EUR,94.4629
2024-03-05,GBP,105.545
2024-03-06,INR,1.0
2024-03-06,USD,85.4454
2024-03-06,EUR,91.8523
2024-03-06,GBP,102.4047
2024-03-07,INR,1.0
2024-03-07,USD,85.9971
2024-03-07,EUR,93.8522
2024-03-07,GBP,109.752
2024-03-08,INR,1.0
2024-03-08,USD,85.7055
2024-03-08,EUR,93.9409
2024-03-08,GBP,103.3305
2024-03-09,INR,1.0
2024-03-09,USD,83.9426
2024-03-09,EUR,89.4962
2024-03-09,GBP,105.2083
2024-03-10,INR,1.0
2024-03-10,USD,82.2345
2024-03-10,EUR,90.6528
2024-03-10,GBP,109.8825
2024-03-11,INR,1.0
2024-03-11,USD,83.0608
2024-03-11,EUR,93.4885
2024-03-11,GBP,105.6401
2024-03-12,INR,1.0
2024-03-12,USD,83.692
2024-03-12,EUR,94.7012
2024-03-12,GBP,109.9634
2024-03-13,INR,1.0
2024-03-13,USD,84.2231
2024-03-13,EUR,93.0289
2024-03-13,GBP,103.2384
2024-03-14,INR,1.0
2024-03-14,USD,83.1868
2024-03-14,EUR,94.781
2024-03-14,GBP,106.6334
2024-03-15,INR,1.0
2024-03-15,USD,84.1688
2024-03-15,EUR,93.2358
2024-03-15,GBP,102.4573
2024-03-16,INR,1.0
2024-03-16,USD,84.3367
2024-03-16,EUR,91.52
2024-03-16,GBP,108.8218
2024-03-17,INR,1.0
2024-03-17,USD,82.6297
2024-03-17,EUR,94.7255
2024-03-17,GBP,102.6409
2024-03-18,INR,1.0
2024-03-18,USD,82.7433
2024-03-18,EUR,92.1652
2024-03-18,GBP,107.4017
2024-03-19,INR,1.0
2024-03-19,USD,82.9408
2024-03-19,EUR,88.8392
2024-03-19,GBP,109.1223
2024-03-20,INR,1.0
2024-03-20,USD,82.9849
2024-03-20,EUR,92.1616
2024-03-20,GBP,106.9551
2024-03-21,INR,1.0
2024-03-21,USD,83.6769
2024-03-21,EUR,92.0857
2024-03-21,GBP,106.1823
2024-03-22,INR,1.0
2024-03-22,USD,85.7388
2024-03-22,EUR,89.4298
2024-03-22,GBP,107.7295
2024-03-23,INR,1.0
2024-03-23,USD,82.9547
2024-03-23,EUR,90.7705
2024-03-23,GBP,107.3735
2024-03-24,INR,1.0
2024-03-24,USD,83.2
2024-03-24,EUR,90.2132
2024-03-24,GBP,108.0149
2024-03-25,INR,1.0
2024-03-25,USD,82.2902
2024-03-25,EUR,91.208
2024-03-25,GBP,109.9876
2024-03-26,INR,1.0
2024-03-26,USD,85.9844
2024-03-26,EUR,88.5128
2024-03-26,GBP,103.7052
2024-03-27,INR,1.0
2024-03-27,USD,83.0608
2024-03-27,EUR,94.5328
2024-03-27,GBP,109.0469
2024-03-28,INR,1.0
2024-03-28,USD,85.5171
2024-03-28,EUR,90.5867
2024-03-28,GBP,103.262
2024-03-29,INR,1.0
2024-03-29,USD,85.335
2024-03-29,EUR,92.9248
2024-03-29,GBP,106.8934
2024-03-30,INR,1.0
2024-03-30,USD,85.9489
2024-03-30,EUR,92.5778
2024-03-30,GBP,102.0626
2024-03-31,INR,1.0
2024-03-31,USD,85.2684
2024-03-31,EUR,90.0957
2024-03-31,GBP,107.3071
2024-04-01,INR,1.0
2024-04-01,USD,85.7557
2024-04-01,EUR,88.94
2024-04-01,GBP,102.9234
2024-04-02,INR,1.0
2024-04-02,USD,82.4281
2024-04-02,EUR,91.8726
2024-04-02,GBP,104.1788
2024-04-03,INR,1.0
2024-04-03,USD,84.4193
2024-04-03,EUR,93.0233
2024-04-03,GBP,103.6288
2024-04-04,INR,1.0
2024-04-04,USD,84.537
2024-04-04,EUR,89.8479
2024-04-04,GBP,105.9083
2024-04-05,INR,1.0
2024-04-05,USD,85.6213
2024-04-05,EUR,93.9227
2024-04-05,GBP,102.7384
2024-04-06,INR,1.0
2024-04-06,USD,83.6943
2024-04-06,EUR,89.9368
2024-04-06,GBP,102.0284
2024-04-07,INR,1.0
2024-04-07,USD,85.0845
2024-04-07,EUR,92.4598
2024-04-07,GBP,104.0956
2024-04-08,INR,1.0
2024-04-08,USD,84.9649
2024-04-08,EUR,91.8618
2024-04-08,GBP,105.4215
2024-04-09,INR,1.0
2024-04-09,USD,82.0387
2024-04-09,EUR,88.5267
2024-04-09,GBP,109.0649
2024-04-10,INR,1.0
2024-04-10,USD,85.6157
2024-04-10,EUR,91.8191
2024-04-10,GBP,108.6768
2024-04-11,INR,1.0
2024-04-11,USD,84.33
2024-04-11,EUR,89.0367
2024-04-11,GBP,103.0196
2024-04-12,INR,1.0
2024-04-12,USD,83.233
2024-04-12,EUR,94.2929
2024-04-12,GBP,108.369
2024-04-13,INR,1.0
2024-04-13,USD,85.4428
2024-04-13,EUR,94.2925
2024-04-13,GBP,103.6806
2024-04-14,INR,1.0
2024-04-14,USD,82.9981
2024-04-14,EUR,88.7196
2024-04-14,GBP,108.2409
2024-04-15,INR,1.0
2024-04-15,USD,85.5365
2024-04-15,EUR,90.8446
2024-04-15,GBP,106.9653
2024-04-16,INR,1.0
2024-04-16,USD,82.6182
2024-04-16,EUR,94.5092
2024-04-16,GBP,108.9168
2024-04-17,INR,1.0
2024-04-17,USD,85.9048
2024-04-17,EUR,93.6754
2024-04-17,GBP,109.0513
2024-04-18,INR,1.0
2024-04-18,USD,82.0991
2024-04-18,EUR,93.156
2024-04-18,GBP,104.6575
2024-04-19,INR,1.0
2024-04-19,USD,85.7233
2024-04-19,EUR,93.6156
2024-04-19,GBP,108.9125
2024-04-20,INR,1.0
2024-04-20,USD,85.243
2024-04-20,EUR,89.8676
2024-04-20,GBP,108.299
2024-04-21,INR,1.0
2024-04-21,USD,82.4324
2024-04-21,EUR,94.1052
2024-04-21,GBP,108.8687
2024-04-22,INR,1.0
2024-04-22,USD,82.8897
2024-04-22,EUR,93.7161
2024-04-22,GBP,105.6824
2024-04-23,INR,1.0
2024-04-23,USD,83.2208
2024-04-23,EUR,93.5674
2024-04-23,GBP,103.8208
2024-04-24,INR,1.0
2024-04-24,USD,82.0947
2024-04-24,EUR,89.3519
2024-04-24,GBP,104.6261
2024-04-25,INR,1.0
2024-04-25,USD,85.4574
2024-04-25,EUR,94.7682
2024-04-25,GBP,104.233
2024-04-26,INR,1.0
2024-04-26,USD,84.5659
2024-04-26,EUR,90.7977
2024-04-26,GBP,109.8492
2024-04-27,INR,1.0
2024-04-27,USD,84.1449
2024-04-27,EUR,94.5747
2024-04-27,GBP,102.9227
2024-04-28,INR,1.0
2024-04-28,USD,85.8816
2024-04-28,EUR,89.25
2024-04-28,GBP,109.7003
2024-04-29,INR,1.0
2024-04-29,USD,83.0619
2024-04-29,EUR,88.7588
2024-04-29,GBP,105.4765
2024-04-30,INR,1.0
2024-04-30,USD,84.9142
2024-04-30,EUR,90.1957
2024-04-30,GBP,106.8497
2024-05-01,INR,1.0
2024-05-01,USD,84.0457
2024-05-01,EUR,90.6964
2024-05-01,GBP,106.6127
2024-05-02,INR,1.0
2024-05-02,USD,83.0189
2024-05-02,EUR,92.9615
2024-05-02,GBP,102.0135
2024-05-03,INR,1.0
2024-05-03,USD,85.7023
2024-05-03,EUR,91.7692
2024-05-03,GBP,107.7554
2024-05-04,INR,1.0
2024-05-04,USD,84.9678
2024-05-04,EUR,92.6944
2024-05-04,GBP,104.9138
2024-05-05,INR,1.0
2024-05-05,USD,82.2799
2024-05-05,EUR,92.6497
2024-05-05,GBP,104.6416
2024-05-06,INR,1.0
2024-05-06,USD,83.2557
2024-05-06,EUR,93.9361
2024-05-06,GBP,107.758
2024-05-07,INR,1.0
2024-05-07,USD,83.2013
2024-05-07,EUR,90.165
2024-05-07,GBP,105.2671
2024-05-08,INR,1.0
2024-05-08,USD,83.6096
2024-05-08,EUR,90.0696
2024-05-08,GBP,103.0183
2024-05-09,INR,1.0
2024-05-09,USD,83.6818
2024-05-09,EUR,94.5825
2024-05-09,GBP,107.4185
2024-05-10,INR,1.0
2024-05-10,USD,85.6112
2024-05-10,EUR,92.3086
2024-05-10,GBP,104.4076
2024-05-11,INR,1.0
2024-05-11,USD,84.1917
2024-05-11,EUR,88.0028
2024-05-11,GBP,104.2953
2024-05-12,INR,1.0
2024-05-12,USD,83.7196
2024-05-12,EUR,92.0599
2024-05-12,GBP,107.2376
2024-05-13,INR,1.0
2024-05-13,USD,83.86
2024-05-13,EUR,91.0951
2024-05-13,GBP,103.7096
2024-05-14,INR,1.0
2024-05-14,USD,83.8927
2024-05-14,EUR,94.3083
2024-05-14,GBP,108.3682
2024-05-15,INR,1.0
2024-05-15,USD,82.6788
2024-05-15,EUR,88.5936
2024-05-15,GBP,106.1236
2024-05-16,INR,1.0
2024-05-16,USD,84.5318
2024-05-16,EUR,90.3463
2024-05-16,GBP,108.5474
2024-05-17,INR,1.0
2024-05-17,USD,85.0046
2024-05-17,EUR,92.7096
2024-05-17,GBP,103.7971
2024-05-18,INR,1.0
2024-05-18,USD,82.7965
2024-05-18,EUR,88.171
2024-05-18,GBP,103.9587
2024-05-19,INR,1.0
2024-05-19,USD,83.9005
2024-05-19,EUR,93.9482
2024-05-19,GBP,102.5826
2024-05-20,INR,1.0
2024-05-20,USD,83.6578
2024-05-20,EUR,92.4084
2024-05-20,GBP,103.5555
2024-05-21,INR,1.0
2024-05-21,USD,84.7854
2024-05-21,EUR,91.4606
2024-05-21,GBP,103.9519
2024-05-22,INR,1.0
2024-05-22,USD,84.6242
2024-05-22,EUR,88.0388
2024-05-22,GBP,108.0077
2024-05-23,INR,1.0
2024-05-23,USD,85.0802
2024-05-23,EUR,88.7461
2024-05-23,GBP,105.4012
2024-05-24,INR,1.0
2024-05-24,USD,82.7035
2024-05-24,EUR,94.7058
2024-05-24,GBP,106.1437
2024-05-25,INR,1.0
2024-05-25,USD,82.2009
2024-05-25,EUR,89.7444
2024-05-25,GBP,108.7867
2024-05-26,INR,1.0
2024-05-26,USD,83.8258
2024-05-26,EUR,93.6099
2024-05-26,GBP,107.3406
2024-05-27,INR,1.0
2024-05-27,USD,85.9516
2024-05-27,EUR,92.1682
2024-05-27,GBP,109.6003
2024-05-28,INR,1.0
2024-05-28,USD,85.5657
2024-05-28,EUR,92.2886
2024-05-28,GBP,107.7542
2024-05-29,INR,1.0
2024-05-29,USD,84.0191
2024-05-29,EUR,93.814
2024-05-29,GBP,106.383
2024-05-30,INR,1.0
2024-05-30,USD,85.5888
2024-05-30,EUR,93.2056
2024-05-30,GBP,105.7974
2024-05-31,INR,1.0
2024-05-31,USD,83.0368
2024-05-31,EUR,89.7307
2024-05-31,GBP,107.1013
2024-06-01,INR,1.0
2024-06-01,USD,85.0633
2024-06-01,EUR,91.6491
2024-06-01,GBP,107.014
2024-06-02,INR,1.0
2024-06-02,USD,83.0984
2024-06-02,EUR,88.5424
2024-06-02,GBP,104.2858
2024-06-03,INR,1.0
2024-06-03,USD,83.0869
2024-06-03,EUR,90.238
2024-06-03,GBP,106.3212
2024-06-04,INR,1.0
2024-06-04,USD,82.5535
2024-06-04,EUR,89.6188
2024-06-04,GBP,107.5516
2024-06-05,INR,1.0
2024-06-05,USD,84.8257
2024-06-05,EUR,88.4496
2024-06-05,GBP,105.2608
2024-06-06,INR,1.0
2024-06-06,USD,84.1704
2024-06-06,EUR,90.9104
2024-06-06,GBP,103.6547
2024-06-07,INR,1.0
2024-06-07,USD,83.6806
2024-06-07,EUR,94.3339
2024-06-07,GBP,106.6726
2024-06-08,INR,1.0
2024-06-08,USD,84.7821
2024-06-08,EUR,93.9971
2024-06-08,GBP,108.1248
2024-06-09,INR,1.0
2024-06-09,USD,83.5215
2024-06-09,EUR,88.0413
2024-06-09,GBP,104.8141
2024-06-10,INR,1.0
2024-06-10,USD,85.0139
2024-06-10,EUR,93.9741
2024-06-10,GBP,109.6274
2024-06-11,INR,1.0
2024-06-11,USD,83.6761
2024-06-11,EUR,93.2326
2024-06-11,GBP,106.3691
2024-06-12,INR,1.0
2024-06-12,USD,84.413
2024-06-12,EUR,89.5438
2024-06-12,GBP,103.7554
2024-06-13,INR,1.0
2024-06-13,USD,83.7433
2024-06-13,EUR,88.2032
2024-06-13,GBP,104.689
2024-06-14,INR,1.0
2024-06-14,USD,84.7166
2024-06-14,EUR,90.8302
2024-06-14,GBP,103.3204
2024-06-15,INR,1.0
2024-06-15,USD,83.8696
2024-06-15,EUR,88.8934
2024-06-15,GBP,106.9781
2024-06-16,INR,1.0
2024-06-16,USD,82.1079
2024-06-16,EUR,90.7581
2024-06-16,GBP,106.5151
2024-06-17,INR,1.0
2024-06-17,USD,82.1084
2024-06-17,EUR,92.4992
2024-06-17,GBP,103.0856
2024-06-18,INR,1.0
2024-06-18,USD,83.8468
2024-06-18,EUR,88.352
2024-06-18,GBP,105.0328
2024-06-19,INR,1.0
2024-06-19,USD,82.8466
2024-06-19,EUR,90.2879
2024-06-19,GBP,108.0898
2024-06-20,INR,1.0
2024-06-20,USD,83.5165
2024-06-20,EUR,93.2641
2024-06-20,GBP,108.6554
2024-06-21,INR,1.0
2024-06-21,USD,83.0091
2024-06-21,EUR,88.5733
2024-06-21,GBP,102.1551
2024-06-22,INR,1.0
2024-06-22,USD,84.1577
2024-06-22,EUR,94.9994
2024-06-22,GBP,104.7997
2024-06-23,INR,1.0
2024-06-23,USD,84.6006
2024-06-23,EUR,93.4686
2024-06-23,GBP,107.214
2024-06-24,INR,1.0
2024-06-24,USD,85.0169
2024-06-24,EUR,94.6473
2024-06-24,GBP,103.5949
2024-06-25,INR,1.0
2024-06-25,USD,82.0815
2024-06-25,EUR,89.0667
2024-06-25,GBP,103.0098
2024-06-26,INR,1.0
2024-06-26,USD,84.6778
2024-06-26,EUR,91.9478
2024-06-26,GBP,103.7437
2024-06-27,INR,1.0
2024-06-27,USD,84.7979
2024-06-27,EUR,93.3683
2024-06-27,GBP,103.3423
2024-06-28,INR,1.0
2024-06-28,USD,84.429
2024-06-28,EUR,93.2355
2024-06-28,GBP,102.9163
2024-06-29,INR,1.0
2024-06-29,USD,85.2772
2024-06-29,EUR,94.753
2024-06-29,GBP,102.8648
2024-06-30,INR,1.0
2024-06-30,USD,82.1027
2024-06-30,EUR,90.1837
2024-06-30,GBP,107.4188
2024-07-01,INR,1.0
2024-07-01,USD,85.8327
2024-07-01,EUR,90.7766
2024-07-01,GBP,107.7201
2024-07-02,INR,1.0
2024-07-02,USD,82.304
2024-07-02,EUR,92.8343
2024-07-02,GBP,107.0179
2024-07-03,INR,1.0
2024-07-03,USD,82.4076
2024-07-03,EUR,93.4074
2024-07-03,GBP,108.8023
2024-07-04,INR,1.0
2024-07-04,USD,84.4016
2024-07-04,EUR,88.8474
2024-07-04,GBP,109.8708
2024-07-05,INR,1.0
2024-07-05,USD,85.1305
2024-07-05,EUR,90.4304
2024-07-05,GBP,105.427
2024-07-06,INR,1.0
2024-07-06,USD,83.4823
2024-07-06,EUR,91.5417
2024-07-06,GBP,104.7298
2024-07-07,INR,1.0
2024-07-07,USD,85.3983
2024-07-07,EUR,93.7563
2024-07-07,GBP,102.8443
2024-07-08,INR,1.0
2024-07-08,USD,85.8432
2024-07-08,EUR,92.4491
2024-07-08,GBP,108.6297
2024-07-09,INR,1.0
2024-07-09,USD,84.8292
2024-07-09,EUR,91.0484
2024-07-09,GBP,107.8704
2024-07-10,INR,1.0
2024-07-10,USD,85.8619
2024-07-10,EUR,89.8906
2024-07-10,GBP,108.4656
2024-07-11,INR,1.0
2024-07-11,USD,84.1527
2024-07-11,EUR,91.3845
2024-07-11,GBP,105.4846
2024-07-12,INR,1.0
2024-07-12,USD,84.9241
2024-07-12,EUR,89.8788
2024-07-12,GBP,108.8137
2024-07-13,INR,1.0
2024-07-13,USD,85.3229
2024-07-13,EUR,88.6066
2024-07-13,GBP,109.053
2024-07-14,INR,1.0
2024-07-14,USD,82.9755
2024-07-14,EUR,91.253
2024-07-14,GBP,106.8827
2024-07-15,INR,1.0
2024-07-15,USD,83.516
2024-07-15,EUR,88.2009
2024-07-15,GBP,108.8076
2024-07-16,INR,1.0
2024-07-16,USD,82.7274
2024-07-16,EUR,89.4848
2024-07-16,GBP,108.3827
2024-07-17,INR,1.0
2024-07-17,USD,83.3614
2024-07-17,EUR,94.1622
2024-07-17,GBP,107.6095
2024-07-18,INR,1.0
2024-07-18,USD,83.1051
2024-07-18,EUR,88.0711
2024-07-18,GBP,109.5845
2024-07-19,INR,1.0
2024-07-19,USD,82.3425
2024-07-19,EUR,93.0405
2024-07-19,GBP,105.9086
2024-07-20,INR,1.0
2024-07-20,USD,85.0327
2024-07-20,EUR,92.8343
2024-07-20,GBP,107.1672
2024-07-21,INR,1.0
2024-07-21,USD,83.9633
2024-07-21,EUR,93.5505
2024-07-21,GBP,102.7444
2024-07-22,INR,1.0
2024-07-22,USD,82.8864
2024-07-22,EUR,92.8425
2024-07-22,GBP,104.4496
2024-07-23,INR,1.0
2024-07-23,USD,84.3262
2024-07-23,EUR,91.3128
2024-07-23,GBP,106.2474
2024-07-24,INR,1.0
2024-07-24,USD,83.702
2024-07-24,EUR,93.2215
2024-07-24,GBP,104.6463
2024-07-25,INR,1.0
2024-07-25,USD,84.8114
2024-07-25,EUR,89.8964
2024-07-25,GBP,104.0112
2024-07-26,INR,1.0
2024-07-26,USD,82.4826
2024-07-26,EUR,89.3481
2024-07-26,GBP,102.9564
2024-07-27,INR,1.0
2024-07-27,USD,84.1435
2024-07-27,EUR,93.3353
2024-07-27,GBP,103.4812
2024-07-28,INR,1.0
2024-07-28,USD,82.8655
2024-07-28,EUR,91.3894
2024-07-28,GBP,107.7967
2024-07-29,INR,1.0
2024-07-29,USD,85.9064
2024-07-29,EUR,91.6725
2024-07-29,GBP,104.264
2024-07-30,INR,1.0
2024-07-30,USD,82.4021
2024-07-30,EUR,89.3588
2024-07-30,GBP,103.8199
2024-07-31,INR,1.0
2024-07-31,USD,82.7178
2024-07-31,EUR,88.099
2024-07-31,GBP,106.2731
2024-08-01,INR,1.0
2024-08-01,USD,83.0972
2024-08-01,EUR,94.8201
2024-08-01,GBP,106.4269
2024-08-02,INR,1.0
2024-08-02,USD,84.7897
2024-08-02,EUR,88.884
2024-08-02,GBP,108.9477
2024-08-03,INR,1.0
2024-08-03,USD,83.9635
2024-08-03,EUR,94.109
2024-08-03,GBP,106.5925
2024-08-04,INR,1.0
2024-08-04,USD,83.8776
2024-08-04,EUR,91.0833
2024-08-04,GBP,103.4749
2024-08-05,INR,1.0
2024-08-05,USD,82.2055
2024-08-05,EUR,94.5874
2024-08-05,GBP,105.8218
2024-08-06,INR,1.0
2024-08-06,USD,85.2885
2024-08-06,EUR,90.805
2024-08-06,GBP,102.5927
2024-08-07,INR,1.0
2024-08-07,USD,84.5178
2024-08-07,EUR,88.3753
2024-08-07,GBP,103.1936
2024-08-08,INR,1.0
2024-08-08,USD,84.2514
2024-08-08,EUR,90.1268
2024-08-08,GBP,109.9513
2024-08-09,INR,1.0
2024-08-09,USD,82.4738
2024-08-09,EUR,93.3511
2024-08-09,GBP,106.8505
2024-08-10,INR,1.0
2024-08-10,USD,85.163
2024-08-10,EUR,89.5798
2024-08-10,GBP,106.1806
2024-08-11,INR,1.0
2024-08-11,USD,83.8021
2024-08-11,EUR,91.099
2024-08-11,GBP,108.8813
2024-08-12,INR,1.0
2024-08-12,USD,85.9601
2024-08-12,EUR,90.1377
2024-08-12,GBP,106.9682
2024-08-13,INR,1.0
2024-08-13,USD,84.4385
2024-08-13,EUR,93.1806
2024-08-13,GBP,109.5807
2024-08-14,INR,1.0
2024-08-14,USD,82.8312
2024-08-14,EUR,89.4772
2024-08-14,GBP,107.2834
2024-08-15,INR,1.0
2024-08-15,USD,82.6282
2024-08-15,EUR,89.2167
2024-08-15,GBP,102.6005
2024-08-16,INR,1.0
2024-08-16,USD,82.0107
2024-08-16,EUR,91.1535
2024-08-16,GBP,106.7505
2024-08-17,INR,1.0
2024-08-17,USD,83.165
2024-08-17,EUR,89.6203
2024-08-17,GBP,107.6556
