loan_id,customer_id,account_id,loan_type,loan_amount,interest_rate,tenure_months,emi,outstanding_balance,disbursement_date,maturity_date,loan_status
LN000530,CUST000424,ACC000530,Home,7442267.28,8.5,36,234934.05,0.0,2023-10-28,2026-10-28,Active
LN000623,CUST000481,ACC000623,Auto,578483.48,9.0,120,7327.98,153460.64,2020-11-19,2030-11-19,Active
LN000722,CUST000434,ACC000722,Auto,1955020.96,9.0,60,40583.02,0.0,2022-11-05,2027-11-05,Active
LN000361,CUST000123,ACC000361,Auto,1746670.96,9.0,180,17715.9,860875.96,2023-06-01,2038-06-01,Active
LN000031,CUST000357,ACC000031,Personal,585441.13,12.0,180,7026.28,0.0,2020-01-02,2035-01-02,Active
LN000261,CUST000459,ACC000261,Home,2894941.8,8.5,84,45845.7,1106959.5,2024-12-04,2031-12-04,Active
LN000638,CUST000196,ACC000638,Personal,890208.64,12.0,36,29567.67,0.0,2020-06-24,2023-06-24,Active
LN000747,CUST000013,ACC000747,Business,3946254.93,11.5,60,86788.44,1342601.73,2023-09-13,2028-09-13,Closed
LN000571,CUST000359,ACC000571,Personal,338550.97,12.0,180,4063.18,119139.25,2022-05-16,2037-05-16,Closed
LN000216,CUST000067,ACC000216,Personal,741654.08,12.0,120,10640.58,0.0,2023-10-07,2033-10-07,Active
LN000079,CUST000422,ACC000079,Business,2531687.64,11.5,60,55678.41,2308974.0,2021-04-05,2026-04-05,Active
LN000579,CUST000007,ACC000579,Business,2992646.85,11.5,180,34959.8,2957687.05,2021-03-27,2036-03-27,Active
LN000384,CUST000140,ACC000384,Home,3831534.27,8.5,36,120952.1,1291540.17,2024-10-26,2027-10-26,Active
LN000040,CUST000080,ACC000040,Personal,350629.54,12.0,120,5030.52,3523.66,2021-03-14,2031-03-14,Active
LN000024,CUST000264,ACC000024,Business,3092952.42,11.5,60,68022.09,1052289.72,2024-05-25,2029-05-25,Active
LN000693,CUST000246,ACC000693,Personal,184893.22,12.0,240,2035.83,1668.52,2022-06-01,2042-06-01,Active
LN000399,CUST000392,ACC000399,Education,2632359.22,8.0,36,82488.57,2137427.8,2023-10-11,2026-10-11,Active
LN000797,CUST000415,ACC000797,Auto,1680948.02,9.0,36,53453.7,1039503.62,2021-05-24,2024-05-24,Active
LN000742,CUST000075,ACC000742,Education,678492.2,8.0,60,13757.38,279528.18,2021-07-24,2026-07-24,Active
LN000140,CUST000435,ACC000140,Home,5545045.96,8.5,180,54604.26,4889794.84,2020-07-19,2035-07-19,Active
LN000251,CUST000476,ACC000251,Business,4262124.13,11.5,36,140547.83,2153906.68,2024-03-23,2027-03-23,Active
LN000175,CUST000231,ACC000175,Education,1599667.73,8.0,120,19408.38,1192091.75,2020-04-30,2030-04-30,Active
LN000324,CUST000060,ACC000324,Education,1016048.26,8.0,120,12327.47,350364.88,2021-08-07,2031-08-07,Active
LN000596,CUST000244,ACC000596,Business,3478420.9,11.5,120,48905.01,2304700.66,2020-11-13,2030-11-13,Active
LN000526,CUST000146,ACC000526,Home,6633442.33,8.5,180,65322.13,1407671.93,2020-05-04,2035-05-04,Active
LN000424,CUST000293,ACC000424,Business,2645548.33,11.5,180,30905.03,2212877.91,2020-11-18,2035-11-18,Closed
LN000597,CUST000091,ACC000597,Home,8810740.36,8.5,36,278133.38,7698206.84,2023-05-03,2026-05-03,Active
LN000605,CUST000078,ACC000605,Personal,463398.0,12.0,180,5561.55,0.0,2021-05-19,2036-05-19,Active
LN000535,CUST000290,ACC000535,Business,868925.32,11.5,240,9266.48,0.0,2023-04-10,2043-04-10,Active
LN000266,CUST000047,ACC000266,Auto,726814.72,9.0,240,6539.34,327914.98,2021-10-05,2041-10-05,Active
LN000110,CUST000472,ACC000110,Personal,704521.2,12.0,84,12436.72,207052.4,2022-07-25,2029-07-25,Closed
LN000667,CUST000104,ACC000667,Home,2074523.66,8.5,180,20428.66,1563807.16,2023-02-27,2038-02-27,Active
LN000295,CUST000418,ACC000295,Personal,555296.22,12.0,60,12352.26,0.0,2021-12-15,2026-12-15,Active
LN000337,CUST000235,ACC000337,Personal,432574.38,12.0,60,9622.38,0.0,2022-06-16,2027-06-16,Active
LN000369,CUST000401,ACC000369,Auto,1378684.43,9.0,240,12404.38,1353875.67,2022-12-19,2042-12-19,Active
LN000447,CUST000152,ACC000447,Business,1847204.38,11.5,240,19699.13,0.0,2020-07-31,2040-07-31,Active
LN000334,CUST000432,ACC000334,Auto,584685.87,9.0,36,18592.85,0.0,2024-02-29,2027-02-28,Active
LN000199,CUST000280,ACC000199,Auto,1367727.72,9.0,240,12305.8,727826.12,2021-12-03,2041-12-03,Active
LN000169,CUST000121,ACC000169,Auto,1208654.49,9.0,84,19446.14,1091977.65,2024-09-28,2031-09-28,Active
LN000482,CUST000115,ACC000482,Education,2539239.84,8.0,36,79570.55,868258.29,2020-01-08,2023-01-08,Active
LN000724,CUST000365,ACC000724,Auto,658531.16,9.0,120,8341.99,0.0,2023-02-03,2033-02-03,Active
LN000656,CUST000257,ACC000656,Home,2894991.04,8.5,240,25123.4,0.0,2020-11-01,2040-11-01,Active
LN000307,CUST000139,ACC000307,Auto,1332015.31,9.0,60,27650.45,1110811.71,2022-05-30,2027-05-30,Active
LN000232,CUST000207,ACC000232,Auto,1838370.38,9.0,36,58459.69,1078394.41,2022-01-02,2025-01-02,Active
LN000423,CUST000244,ACC000423,Home,4829429.08,8.5,180,47557.3,0.0,2024-11-26,2039-11-26,Defaulted
LN000050,CUST000481,ACC000050,Personal,933187.44,12.0,60,20758.24,725605.04,2024-11-05,2029-11-05,Defaulted
LN000788,CUST000246,ACC000788,Personal,893274.58,12.0,36,29669.5,270215.08,2021-01-02,2024-01-02,Active
LN000358,CUST000460,ACC000358,Education,2466034.88,8.0,240,20626.9,1166540.18,2024-07-18,2044-07-18,Active
LN000087,CUST000062,ACC000087,Home,5060333.78,8.5,36,159742.28,268065.38,2024-10-24,2027-10-24,Active
LN000546,CUST000088,ACC000546,Education,1244077.75,8.0,60,25225.41,1218852.34,2021-04-01,2026-04-01,Active
LN000193,CUST000482,ACC000193,Education,1186307.27,8.0,36,37174.56,554339.75,2024-05-02,2027-05-02,Active
LN000796,CUST000364,ACC000796,Business,2298552.73,11.5,180,26851.46,2110592.51,2021-11-09,2036-11-09,Active
LN000034,CUST000062,ACC000034,Auto,685708.51,9.0,84,11032.42,542287.05,2020-03-19,2027-03-19,Active
LN000032,CUST000377,ACC000032,Auto,1565672.1,9.0,84,25190.22,0.0,2022-06-12,2029-06-12,Defaulted
LN000200,CUST000398,ACC000200,Home,5081563.47,8.5,180,50040.17,1828952.42,2021-01-24,2036-01-24,Active
LN000366,CUST000275,ACC000366,Education,304566.45,8.0,180,2910.6,0.0,2023-11-07,2038-11-07,Active
LN000487,CUST000425,ACC000487,Education,488929.29,8.0,240,4089.6,0.0,2021-11-07,2041-11-07,Active
LN000595,CUST000065,ACC000595,Home,7758034.1,8.5,84,122859.99,2966494.49,2022-11-04,2029-11-04,Active
LN000569,CUST000388,ACC000569,Auto,1043840.62,9.0,84,16794.43,775129.74,2023-02-09,2030-02-09,Active
LN000429,CUST000494,ACC000429,Education,2128758.45,8.0,60,43163.55,574870.65,2023-06-14,2028-06-14,Active
LN000138,CUST000481,ACC000138,Business,4251763.26,11.5,84,73923.12,2329762.14,2021-08-10,2028-08-10,Active
LN000073,CUST000180,ACC000073,Business,3229977.07,11.5,84,56157.87,85136.35,2022-08-10,2029-08-10,Active
LN000078,CUST000022,ACC000078,Personal,560056.6,12.0,240,6166.71,0.0,2020-12-13,2040-12-13,Active
LN000513,CUST000152,ACC000513,Business,3487342.26,11.5,180,40738.78,2550350.32,2021-11-17,2036-11-17,Active
LN000784,CUST000220,ACC000784,Personal,705516.1,12.0,60,15693.82,517190.26,2024-07-09,2029-07-09,Active
LN000787,CUST000355,ACC000787,Home,3958740.35,8.5,120,49082.71,0.0,2023-06-05,2033-06-05,Active
LN000276,CUST000443,ACC000276,Education,1418990.73,8.0,240,11869.01,837409.24,2023-03-24,2043-03-24,Active
LN000362,CUST000185,ACC000362,Education,1634818.36,8.0,60,33148.22,275741.34,2020-10-29,2025-10-29,Active
LN000097,CUST000321,ACC000097,Home,8227363.25,8.5,60,168796.96,0.0,2020-12-26,2025-12-26,Closed
LN000642,CUST000173,ACC000642,Business,2590474.48,11.5,180,30261.66,1652363.02,2021-05-25,2036-05-25,Active
LN000716,CUST000340,ACC000716,Education,2102459.88,8.0,180,20092.2,474991.68,2023-05-04,2038-05-04,Closed
LN000282,CUST000231,ACC000282,Education,1954161.27,8.0,240,16345.39,172513.76,2022-10-30,2042-10-30,Active
LN000394,CUST000256,ACC000394,Business,2506611.25,11.5,60,55126.92,0.0,2024-03-03,2029-03-03,Active
LN000629,CUST000327,ACC000629,Auto,1602842.86,9.0,240,14421.19,0.0,2021-07-21,2041-07-21,Active
LN000609,CUST000007,ACC000609,Education,1992220.78,8.0,84,31051.18,1712760.16,2022-06-19,2029-06-19,Active
LN000706,CUST000073,ACC000706,Personal,344543.6,12.0,84,6082.14,283722.2,2023-01-11,2030-01-11,Active
LN000755,CUST000252,ACC000755,Personal,444731.76,12.0,60,9892.81,316125.23,2023-12-17,2028-12-17,Active
LN000055,CUST000152,ACC000055,Education,1193379.76,8.0,120,14478.99,1092026.83,2022-05-01,2032-05-01,Active
LN000751,CUST000417,ACC000751,Education,1351587.39,8.0,180,12916.47,1287005.04,2023-11-25,2038-11-25,Active
LN000156,CUST000330,ACC000156,Business,2211714.63,11.5,36,72933.52,825977.75,2021-12-21,2024-12-21,Active
LN000433,CUST000051,ACC000433,Education,1753195.53,8.0,240,14664.43,0.0,2023-01-23,2043-01-23,Active
LN000098,CUST000137,ACC000098,Personal,539406.53,12.0,84,9522.0,0.0,2022-06-11,2029-06-11,Active
LN000121,CUST000221,ACC000121,Auto,1470197.79,9.0,120,18623.84,1079097.15,2024-01-23,2034-01-23,Active
LN000077,CUST000426,ACC000077,Personal,982649.78,12.0,180,11793.45,0.0,2020-02-25,2035-02-25,Active
LN000205,CUST000151,ACC000205,Home,2671579.7,8.5,120,33123.76,0.0,2020-10-04,2030-10-04,Active
LN000353,CUST000047,ACC000353,Home,4081250.51,8.5,84,64632.66,332556.23,2021-03-09,2028-03-09,Active
LN000765,CUST000419,ACC000765,Education,1051292.86,8.0,120,12755.08,0.0,2021-05-31,2031-05-31,Active
LN000209,CUST000186,ACC000209,Home,7992194.09,8.5,36,252293.89,4460079.63,2021-12-17,2024-12-17,Active
LN000368,CUST000337,ACC000368,Home,8033865.63,8.5,60,164827.06,0.0,2021-02-12,2026-02-12,Active
LN000426,CUST000422,ACC000426,Personal,314690.45,12.0,120,4514.89,251481.99,2023-10-03,2033-10-03,Active
LN000516,CUST000170,ACC000516,Personal,518530.59,12.0,84,9153.48,88317.03,2024-04-19,2031-04-19,Active
LN000085,CUST000048,ACC000085,Business,4836806.35,11.5,240,51581.14,0.0,2020-08-22,2040-08-22,Active
LN000011,CUST000109,ACC000011,Auto,572958.0,9.0,36,18219.91,0.0,2021-09-30,2024-09-30,Active
LN000721,CUST000483,ACC000721,Education,1370966.99,8.0,240,11467.32,1153087.91,2021-02-10,2041-02-10,Active
LN000111,CUST000479,ACC000111,Personal,191711.17,12.0,84,3384.23,0.0,2024-10-07,2031-10-07,Active
LN000522,CUST000294,ACC000522,Business,4021859.06,11.5,84,69925.89,245861.0,2022-12-27,2029-12-27,Active
LN000778,CUST000399,ACC000778,Home,6047686.32,8.5,84,95774.1,971659.02,2020-01-26,2027-01-26,Active
LN000210,CUST000294,ACC000210,Home,5468187.21,8.5,84,86596.87,445568.75,2023-07-25,2030-07-25,Active
LN000236,CUST000168,ACC000236,Education,775569.79,8.0,180,7411.75,264159.04,2023-08-25,2038-08-25,Active
LN000317,CUST000435,ACC000317,Business,3985886.53,11.5,120,56039.75,0.0,2022-06-11,2032-06-11,Active
LN000389,CUST000007,ACC000389,Auto,915687.33,9.0,60,19008.16,0.0,2024-08-28,2029-08-28,Active
LN000119,CUST000472,ACC000119,Education,958431.29,8.0,120,11628.42,51414.53,2023-03-13,2033-03-13,Active
LN000720,CUST000229,ACC000720,Auto,445920.0,9.0,84,7174.44,1104.72,2021-01-07,2028-01-07,Active
LN000211,CUST000256,ACC000211,Auto,944542.15,9.0,180,9580.18,273929.55,2023-12-07,2038-12-07,Active
LN000255,CUST000172,ACC000255,Business,4766281.6,11.5,36,157172.93,679785.42,2021-05-09,2024-05-09,Active
LN000592,CUST000339,ACC000592,Personal,721548.41,12.0,240,7944.87,0.0,2023-12-28,2043-12-28,Active
LN000030,CUST000031,ACC000030,Home,2744426.8,8.5,60,56306.12,266957.52,2022-04-08,2027-04-08,Active
LN000267,CUST000287,ACC000267,Business,2160592.03,11.5,180,25239.82,0.0,2022-12-23,2037-12-23,Active
LN000657,CUST000285,ACC000657,Business,1988560.84,11.5,240,21206.6,525305.44,2022-07-18,2042-07-18,Active
LN000663,CUST000227,ACC000663,Personal,208590.3,12.0,60,4639.98,176110.44,2021-10-08,2026-10-08,Active
LN000297,CUST000029,ACC000297,Personal,272386.88,12.0,240,2999.21,62442.18,2022-09-18,2042-09-18,Active
LN000082,CUST000195,ACC000082,Business,3185558.33,11.5,36,105046.99,1924994.45,2024-09-01,2027-09-01,Active
LN000689,CUST000149,ACC000689,Auto,687106.47,9.0,36,21849.8,0.0,2023-12-21,2026-12-21,Active
LN000303,CUST000310,ACC000303,Home,9794359.45,8.5,180,96448.93,0.0,2021-08-21,2036-08-21,Closed
LN000507,CUST000339,ACC000507,Education,576986.65,8.0,36,18080.66,251534.77,2023-03-21,2026-03-21,Active
LN000759,CUST000353,ACC000759,Education,1219906.02,8.0,36,38227.42,73083.42,2021-06-01,2024-06-01,Active
LN000315,CUST000403,ACC000315,Home,5205659.54,8.5,36,164329.85,4712669.99,2023-03-27,2026-03-27,Active
LN000645,CUST000474,ACC000645,Business,4771065.39,11.5,36,157330.68,3669750.63,2021-05-23,2024-05-23,Active
LN000410,CUST000172,ACC000410,Education,1937057.66,8.0,180,18511.53,0.0,2021-04-07,2036-04-07,Active
LN000212,CUST000314,ACC000212,Education,1102853.46,8.0,180,10539.44,280777.14,2022-05-28,2037-05-28,Active
LN000533,CUST000439,ACC000533,Home,6877047.3,8.5,240,59680.61,0.0,2020-07-22,2040-07-22,Active
LN000484,CUST000001,ACC000484,Personal,338181.51,12.0,36,11232.47,169694.46,2020-11-17,2023-11-17,Active
LN000219,CUST000064,ACC000219,Home,3252260.92,8.5,120,40323.38,0.0,2022-07-11,2032-07-11,Active
LN000008,CUST000084,ACC000008,Auto,452223.77,9.0,84,7275.86,190292.81,2023-12-18,2030-12-18,Active
LN000465,CUST000106,ACC000465,Education,492185.35,8.0,60,9979.74,0.0,2021-06-25,2026-06-25,Active
LN000102,CUST000334,ACC000102,Business,3475323.69,11.5,60,76431.43,2940303.68,2022-05-20,2027-05-20,Active
LN000327,CUST000219,ACC000327,Personal,917570.3,12.0,60,20410.84,856337.78,2020-05-26,2025-05-26,Active
LN000653,CUST000119,ACC000653,Auto,1352070.46,9.0,180,13713.6,0.0,2021-08-14,2036-08-14,Active
LN000538,CUST000428,ACC000538,Auto,1519573.9,9.0,84,24448.54,0.0,2022-10-21,2029-10-21,Active
LN000641,CUST000229,ACC000641,Home,6784293.3,8.5,120,84115.53,3335556.57,2024-02-13,2034-02-13,Active
LN000003,CUST000360,ACC000003,Home,2730615.09,8.5,240,23696.91,0.0,2024-09-08,2044-09-08,Active
LN000739,CUST000421,ACC000739,Home,9996579.34,8.5,240,86752.64,4097399.82,2024-08-09,2044-08-09,Active
LN000777,CUST000459,ACC000777,Personal,523450.74,12.0,240,5763.64,0.0,2022-06-24,2042-06-24,Active
LN000520,CUST000274,ACC000520,Business,2461482.44,11.5,120,34607.32,385043.24,2020-07-05,2030-07-05,Active
LN000590,CUST000335,ACC000590,Auto,913693.21,9.0,36,29055.2,623141.21,2024-10-22,2027-10-22,Active
LN000799,CUST000267,ACC000799,Education,1078188.05,8.0,120,13081.4,0.0,2024-07-24,2034-07-24,Active
LN000745,CUST000302,ACC000745,Education,537761.44,8.0,84,8381.67,420418.06,2021-10-24,2028-10-24,Defaulted
LN000514,CUST000276,ACC000514,Education,2635258.58,8.0,36,82579.43,0.0,2023-09-08,2026-09-08,Active
LN000671,CUST000026,ACC000671,Home,3500660.33,8.5,84,55438.16,8056.25,2023-06-29,2030-06-29,Active
LN000265,CUST000275,ACC000265,Home,3628465.91,8.5,180,35730.94,1020107.29,2020-09-25,2035-09-25,Active
LN000616,CUST000055,ACC000616,Education,627850.43,8.0,240,5251.59,0.0,2023-05-31,2043-05-31,Active
LN000330,CUST000135,ACC000330,Personal,379675.12,12.0,36,12610.65,51798.22,2023-02-05,2026-02-05,Active
LN000343,CUST000461,ACC000343,Home,5691583.15,8.5,36,179669.26,4074559.81,2023-08-19,2026-08-19,Active
LN000395,CUST000453,ACC000395,Auto,1214195.22,9.0,84,19535.28,22543.14,2022-04-30,2029-04-30,Defaulted
LN000080,CUST000495,ACC000080,Personal,511107.83,12.0,60,11369.31,374676.11,2022-02-24,2027-02-24,Closed
LN000149,CUST000310,ACC000149,Business,3858316.45,11.5,60,84854.44,3518898.69,2024-11-04,2029-11-04,Active
LN000351,CUST000466,ACC000351,Education,1217663.16,8.0,180,11636.62,1217663.16,2021-07-01,2036-07-01,Active
LN000383,CUST000494,ACC000383,Auto,1739961.48,9.0,180,17647.85,0.0,2023-09-13,2038-09-13,Active
LN000441,CUST000400,ACC000441,Education,1754167.56,8.0,84,27340.83,0.0,2021-11-11,2028-11-11,Active
LN000310,CUST000138,ACC000310,Education,1529430.47,8.0,84,23838.03,957317.75,2024-11-15,2031-11-15,Defaulted
LN000708,CUST000361,ACC000708,Personal,614617.88,12.0,60,13671.84,0.0,2024-10-19,2029-10-19,Active
LN000134,CUST000346,ACC000134,Auto,1591528.24,9.0,240,14319.39,202547.41,2024-07-19,2044-07-19,Active
LN000382,CUST000383,ACC000382,Personal,545795.78,12.0,36,18128.23,0.0,2020-09-15,2023-09-15,Closed
LN000214,CUST000154,ACC000214,Auto,1791520.5,9.0,120,22694.22,271007.76,2020-07-23,2030-07-23,Closed
LN000660,CUST000104,ACC000660,Home,7779550.62,8.5,120,96455.29,0.0,2024-11-18,2034-11-18,Closed
LN000056,CUST000001,ACC000056,Home,5755924.81,8.5,84,91153.62,0.0,2021-11-24,2028-11-24,Active
LN000737,CUST000090,ACC000737,Home,8814122.34,8.5,240,76491.0,0.0,2024-10-25,2044-10-25,Active
LN000621,CUST000370,ACC000621,Auto,1402878.69,9.0,120,17771.07,176674.86,2024-11-21,2034-11-21,Active
LN000583,CUST000492,ACC000583,Home,3878161.94,8.5,240,33655.59,1926137.72,2021-08-11,2041-08-11,Active
LN000674,CUST000303,ACC000674,Education,2941511.87,8.0,240,24603.98,0.0,2023-12-12,2043-12-12,Active
LN000528,CUST000365,ACC000528,Personal,724601.05,12.0,36,24067.12,243258.65,2020-04-04,2023-04-04,Active
LN000197,CUST000011,ACC000197,Auto,973541.35,9.0,120,12332.41,591236.64,2020-10-25,2030-10-25,Active
LN000714,CUST000237,ACC000714,Business,3568101.67,11.5,60,78471.86,2704911.21,2020-12-14,2025-12-14,Active
LN000690,CUST000410,ACC000690,Education,1973218.0,8.0,60,40009.75,0.0,2022-10-16,2027-10-16,Active
LN000061,CUST000357,ACC000061,Personal,515034.92,12.0,84,9091.77,224098.28,2022-07-30,2029-07-30,Active
LN000577,CUST000114,ACC000577,Education,2733265.44,8.0,240,22862.13,1818780.24,2023-01-24,2043-01-24,Active
LN000632,CUST000393,ACC000632,Auto,1980242.71,9.0,84,31860.28,259787.59,2023-08-01,2030-08-01,Active
LN000432,CUST000191,ACC000432,Education,2582320.6,8.0,60,52360.15,0.0,2022-02-26,2027-02-26,Active
LN000604,CUST000149,ACC000604,Personal,443227.87,12.0,84,7824.18,153733.21,2023-03-23,2030-03-23,Defaulted
LN000443,CUST000112,ACC000443,Auto,435103.36,9.0,240,3914.74,161071.56,2022-03-21,2042-03-21,Active
LN000437,CUST000471,ACC000437,Home,9284935.63,8.5,240,80576.83,0.0,2022-10-14,2042-10-14,Closed
LN000248,CUST000474,ACC000248,Auto,1641185.57,9.0,60,34068.31,0.0,2023-05-28,2028-05-28,Active
LN000587,CUST000494,ACC000587,Personal,658802.05,12.0,240,7253.98,0.0,2024-03-27,2044-03-27,Active
LN000570,CUST000196,ACC000570,Personal,665423.29,12.0,240,7326.88,592154.49,2023-08-16,2043-08-16,Active
LN000091,CUST000130,ACC000091,Education,390084.23,8.0,84,6079.94,292805.19,2024-02-08,2031-02-08,Active
LN000651,CUST000088,ACC000651,Auto,922750.6,9.0,120,11689.01,630525.35,2020-12-25,2030-12-25,Active
LN000182,CUST000071,ACC000182,Business,4444072.69,11.5,84,77266.7,0.0,2022-12-23,2029-12-23,Closed
LN000791,CUST000485,ACC000791,Personal,331273.08,12.0,120,4752.81,155419.11,2024-07-09,2034-07-09,Active
LN000555,CUST000300,ACC000555,Auto,1686772.06,9.0,120,21367.32,1302160.3,2020-06-03,2030-06-03,Active
LN000291,CUST000343,ACC000291,Personal,874126.54,12.0,240,9624.89,0.0,2023-10-13,2043-10-13,Closed
LN000159,CUST000370,ACC000159,Business,2145987.72,11.5,120,30171.61,1150324.59,2020-01-29,2030-01-29,Active
LN000070,CUST000465,ACC000070,Education,1295181.28,8.0,240,10833.42,569342.14,2023-10-08,2043-10-08,Active
LN000518,CUST000004,ACC000518,Auto,573353.76,9.0,60,11901.88,561451.88,2022-08-23,2027-08-23,Active
LN000132,CUST000387,ACC000132,Business,1976028.27,11.5,180,23083.76,0.0,2021-03-29,2036-03-29,Active
LN000045,CUST000400,ACC000045,Education,2755346.62,8.0,84,42945.42,522184.78,2023-08-22,2030-08-22,Active
LN000071,CUST000026,ACC000071,Home,9570092.26,8.5,84,151556.63,7448299.44,2022-10-05,2029-10-05,Active
LN000692,CUST000059,ACC000692,Business,1110488.22,11.5,120,15612.96,0.0,2022-01-29,2032-01-29,Closed
LN000356,CUST000386,ACC000356,Business,2386070.39,11.5,240,25445.76,1393685.75,2024-01-28,2044-01-28,Active
LN000445,CUST000142,ACC000445,Home,8669544.67,8.5,180,85372.44,2608101.43,2022-04-15,2037-04-15,Active
LN000762,CUST000235,ACC000762,Auto,747631.5,9.0,120,9470.68,0.0,2021-04-28,2031-04-28,Active
LN000136,CUST000060,ACC000136,Auto,1271145.38,9.0,240,11436.82,1099593.08,2022-01-04,2042-01-04,Active
LN000083,CUST000144,ACC000083,Personal,971386.19,12.0,120,13936.57,0.0,2020-07-06,2030-07-06,Active
LN000166,CUST000411,ACC000166,Business,4869919.9,11.5,36,160590.51,1497519.19,2024-05-30,2027-05-30,Active
LN000165,CUST000295,ACC000165,Personal,808280.29,12.0,60,17979.75,0.0,2020-05-20,2025-05-20,Active
LN000029,CUST000048,ACC000029,Personal,627744.78,12.0,60,13963.84,0.0,2021-11-03,2026-11-03,Active
LN000449,CUST000433,ACC000449,Business,512759.98,11.5,60,11276.93,129344.36,2020-09-23,2025-09-23,Active
LN000194,CUST000328,ACC000194,Personal,198933.71,12.0,36,6607.45,198933.71,2020-09-26,2023-09-26,Active
LN000240,CUST000397,ACC000240,Personal,629967.63,12.0,36,20923.94,295184.59,2020-12-22,2023-12-22,Active
LN000725,CUST000474,ACC000725,Education,1720430.92,8.0,240,14390.37,0.0,2020-05-10,2040-05-10,Active
LN000731,CUST000385,ACC000731,Auto,1221180.73,9.0,36,38833.22,0.0,2022-07-14,2025-07-14,Active
LN000137,CUST000485,ACC000137,Business,695142.67,11.5,240,7413.21,124325.5,2022-12-03,2042-12-03,Active
LN000665,CUST000353,ACC000665,Home,2486603.26,8.5,120,30830.32,914256.94,2024-10-01,2034-10-01,Active
LN000312,CUST000004,ACC000312,Home,5922150.83,8.5,120,73426.2,0.0,2020-05-30,2030-05-30,Active
LN000141,CUST000065,ACC000141,Business,1167502.22,11.5,60,25676.42,166121.84,2021-07-17,2026-07-17,Active
LN000474,CUST000493,ACC000474,Business,3704687.58,11.5,120,52086.22,214910.84,2023-05-08,2033-05-08,Active
LN000007,CUST000396,ACC000007,Business,3224420.56,11.5,36,106328.51,2480120.99,2024-06-12,2027-06-12,Active
LN000729,CUST000365,ACC000729,Business,3743779.62,11.5,60,82335.48,1438386.18,2022-05-30,2027-05-30,Active
LN000756,CUST000400,ACC000756,Education,1215115.37,8.0,120,14742.7,433752.27,2022-03-27,2032-03-27,Active
LN000074,CUST000079,ACC000074,Auto,1082822.41,9.0,240,9742.43,157291.56,2021-06-06,2041-06-06,Closed
LN000560,CUST000075,ACC000560,Education,481259.93,8.0,36,15080.94,74074.55,2020-07-09,2023-07-09,Active
LN000300,CUST000162,ACC000300,Auto,1698830.86,9.0,180,17230.67,0.0,2020-05-02,2035-05-02,Closed
LN000146,CUST000444,ACC000146,Business,1983406.92,11.5,36,65404.84,544500.44,2022-04-21,2025-04-21,Active
LN000293,CUST000009,ACC000293,Education,2643848.8,8.0,240,22114.21,1029511.47,2020-04-15,2040-04-15,Active
