transaction_id,reference_number,account_id,transaction_timestamp,transaction_type,transaction_category,merchant_id,amount,currency,channel,balance_after_transaction,status,remarks
TXN000000066,33E13E6E672F4612,ACC000076,2024-01-01 12:32:00,Debit,Debit Card,MER0043,5149.81,INR,Debit Card,220974.63,SUCCESS,POS Purchase
TXN000000067,504B18FE6B94405F,ACC000169,2024-01-01 12:51:00,Debit,Cash,,15693.05,INR,Cash,6068.07,SUCCESS,Cash Deposit
TXN000000068,BCB7B64E778343A1,ACC000034,2024-01-01 13:05:00,Credit,Mobile Banking,,11209.3,INR,Mobile Banking,522209.8,SUCCESS,Online Banking
TXN000000069,6C598960CE9844EC,ACC000795,2024-01-01 13:20:00,Credit,Debit Card,MER0009,813.14,INR,Debit Card,30116.04,SUCCESS,POS Purchase
TXN000000070,D3BA253FB7A04D49,ACC000154,2024-01-01 13:23:00,Debit,Mobile Banking,,12046.47,INR,Mobile Banking,13659.36,SUCCESS,Online Banking
TXN000000071,B6A0E5FDD5D64F81,ACC000554,2024-01-01 13:25:00,Credit,Mobile Banking,,13877.02,INR,Mobile Banking,29412.33,SUCCESS,Online Banking
TXN000000072,4F2DCD552EC04071,ACC000170,2024-01-01 13:33:00,Debit,Cash,,2671.89,INR,Cash,460967.35,SUCCESS,Cash Deposit
TXN000000073,17144D2393644137,ACC000640,2024-01-01 13:49:00,Debit,ATM,,10354.82,INR,ATM,196312.84,SUCCESS,ATM Withdrawal
TXN000000074,46AAECAC448348EA,ACC000514,2024-01-01 14:17:00,Debit,Credit Card,MER0002,19778.77,INR,Credit Card,329129.07,SUCCESS,Card Payment
TXN000000075,B5095DEC9D7C472C,ACC000266,2024-01-01 14:19:00,Credit,Cash,,11620.68,INR,Cash,411260.03,SUCCESS,Cash Deposit
TXN000000076,DD1E9C142A724F19,ACC000333,2024-01-01 14:20:00,Debit,Debit Card,MER0053,5270.22,INR,Debit Card,20626.13,SUCCESS,POS Purchase
TXN000000077,AB956627E46D45CB,ACC000708,2024-01-01 14:21:00,Debit,IMPS,,2872.4,INR,IMPS,154643.32,SUCCESS,IMPS Transfer
TXN000000078,564D64DDFC714459,ACC000124,2024-01-01 14:40:00,Debit,Cash,,187.8,INR,Cash,364694.59,SUCCESS,Cash Deposit
TXN000000079,D45423D4BF2B47A8,ACC000239,2024-01-01 15:06:00,Credit,Mobile Banking,,11918.43,INR,Mobile Banking,239551.77,SUCCESS,Online Banking
TXN000000080,7108A123BF23459D,ACC000142,2024-01-01 15:19:00,Debit,ATM,,9226.8,USD,ATM,437953.59,SUCCESS,ATM Withdrawal
TXN000000081,E46B62F54DB6409D,ACC000160,2024-01-01 15:25:00,Credit,NEFT,,4044.88,INR,NEFT,23655.4,SUCCESS,NEFT Transfer
TXN000000082,06252A05DE134F29,ACC000394,2024-01-01 15:41:00,Debit,Debit Card,MER0030,2232.11,INR,Debit Card,27343.56,SUCCESS,POS Purchase
TXN000000083,DD3C4BC3FFF846B8,ACC000612,2024-01-01 15:58:00,Debit,IMPS,,16506.16,INR,IMPS,161253.65,SUCCESS,IMPS Transfer
TXN000000084,6D0E0C650C134DD6,ACC000518,2024-01-01 16:00:00,Credit,Debit Card,MER0075,11641.95,INR,Debit Card,331494.0,SUCCESS,POS Purchase
TXN000000085,2116B0EB9E9649F3,ACC000388,2024-01-01 16:14:00,Debit,IMPS,,18213.73,INR,IMPS,389395.82,SUCCESS,IMPS Transfer
TXN000000086,335128B900F84DB6,ACC000021,2024-01-01 16:27:00,Debit,UPI,MER0069,15924.02,INR,UPI,64111.87,SUCCESS,UPI Payment
TXN000000087,929774A02919420E,ACC000445,2024-01-01 16:28:00,Debit,Credit Card,MER0069,4716.49,INR,Credit Card,285483.46,SUCCESS,Card Payment
TXN000000088,A4F403770C124993,ACC000688,2024-01-01 16:31:00,Debit,IMPS,,577.52,INR,IMPS,291761.33,SUCCESS,IMPS Transfer
TXN000000089,D966FF4460BB42B4,ACC000492,2024-01-01 16:46:00,Debit,Credit Card,MER0079,10536.46,INR,Credit Card,209096.58,SUCCESS,Card Payment
TXN000000090,9C7956A464E44FA2,ACC000087,2024-01-01 17:09:00,Debit,NEFT,,19437.62,INR,NEFT,969.84,SUCCESS,NEFT Transfer
TXN000000091,983EF7C4D714447F,ACC000495,2024-01-01 17:21:00,Debit,ATM,,15131.21,INR,ATM,402274.25,SUCCESS,ATM Withdrawal
TXN000000092,FEA1A5A378A5408E,ACC000072,2024-01-01 17:28:00,Debit,Cash,,17598.5,INR,Cash,131035.25,SUCCESS,Cash Deposit
TXN000000093,F6A2A299928B4D2E,ACC000309,2024-01-01 17:35:00,Debit,UPI,MER0077,9502.91,INR,UPI,696901.86,SUCCESS,UPI Payment
TXN000000094,3F7D5B0FC88744CF,ACC000536,2024-01-01 17:55:00,Debit,UPI,MER0012,7467.44,INR,UPI,138875.57,SUCCESS,UPI Payment
TXN000000095,2A333F33935F4093,ACC000180,2024-01-01 17:57:00,Debit,NEFT,,11906.39,INR,NEFT,311411.16,SUCCESS,NEFT Transfer
TXN000000096,C7003EA561FF4CFE,ACC000357,2024-01-01 18:28:00,Debit,Mobile Banking,,19522.54,INR,Mobile Banking,2889.21,SUCCESS,Online Banking
TXN000000097,ECFDAE44C6C5400D,ACC000084,2024-01-01 18:53:00,Debit,Cash,,2766.71,INR,Cash,151164.3,SUCCESS,Cash Deposit
TXN000000098,8FB6C9F0416544CF,ACC000703,2024-01-01 19:10:00,Debit,ATM,,2961.68,INR,ATM,212818.78,SUCCESS,ATM Withdrawal
TXN000000099,8354661C47354789,ACC000529,2024-01-01 19:13:00,Debit,Cash,,8076.29,INR,Cash,26432.4,SUCCESS,Cash Deposit
TXN000000100,15CDDE51A23F491F,ACC000780,2024-01-01 19:17:00,Debit,IMPS,,9626.63,INR,IMPS,29327.36,SUCCESS,IMPS Transfer
TXN000000101,9FFFFC5791614768,ACC000181,2024-01-01 19:43:00,Debit,Mobile Banking,,15352.81,INR,Mobile Banking,140903.36,SUCCESS,Online Banking
TXN000000102,E533451972364ED8,ACC000402,2024-01-01 19:55:00,Debit,Mobile Banking,,127.83,INR,Mobile Banking,11037.81,SUCCESS,Online Banking
TXN000000103,648BC3E1BCEE4200,ACC000365,2024-01-01 19:57:00,Debit,Mobile Banking,,16047.73,INR,Mobile Banking,200941.65,SUCCESS,Online Banking
TXN000000104,0CBCCE11629D4D6C,ACC000441,2024-01-01 20:06:00,Credit,ATM,,6818.88,INR,ATM,357598.49,SUCCESS,ATM Withdrawal
TXN000000105,6D317DC6687C42B2,ACC000789,2024-01-01 20:06:00,Debit,Debit Card,MER0042,15462.33,INR,Debit Card,250808.21,SUCCESS,POS Purchase
TXN000000106,C32318CAA8574F94,ACC000240,2024-01-01 20:07:00,Debit,UPI,MER0084,15185.91,INR,UPI,350198.47,SUCCESS,UPI Payment
TXN000000107,B27A9A56D79B4FFA,ACC000765,2024-01-01 20:12:00,Debit,UPI,MER0063,7056.34,INR,UPI,66517.03,SUCCESS,UPI Payment
TXN000000108,FD742F98571C44AA,ACC000438,2024-01-01 20:23:00,Credit,NEFT,,16605.74,USD,NEFT,190562.05,SUCCESS,NEFT Transfer
TXN000000109,0363B8264C364434,ACC000044,2024-01-01 20:49:00,Debit,Cash,,391.4,INR,Cash,312101.41,SUCCESS,Cash Deposit
TXN000000110,7744AB0B6A8B4168,ACC000201,2024-01-01 20:49:00,Debit,Debit Card,MER0053,17265.45,INR,Debit Card,485824.5,SUCCESS,POS Purchase
TXN000000111,52F923D4374C4D60,ACC000581,2024-01-01 20:55:00,Credit,IMPS,,19845.89,INR,IMPS,270103.19,SUCCESS,IMPS Transfer
TXN000000112,F3254CA7FD244C1D,ACC000462,2024-01-01 20:58:00,Debit,ATM,,13204.88,INR,ATM,118584.66,SUCCESS,ATM Withdrawal
TXN000000113,5B3C5DF670DE415D,ACC000573,2024-01-01 21:04:00,Debit,Cash,,8944.93,INR,Cash,15755.67,SUCCESS,Cash Deposit
TXN000000114,C1C5996B49DF48EB,ACC000750,2024-01-01 21:09:00,Debit,ATM,,6730.75,INR,ATM,18644.45,SUCCESS,ATM Withdrawal
TXN000000115,F75FD7BD939244E7,ACC000547,2024-01-01 21:23:00,Credit,Credit Card,MER0036,4578.58,INR,Credit Card,183011.27,SUCCESS,Card Payment
TXN000000116,7F66CFEE14B147A8,ACC000690,2024-01-01 21:25:00,Debit,Credit Card,MER0075,12693.85,INR,Credit Card,357199.68,SUCCESS,Card Payment
TXN000000117,2E56A9EC413E46E3,ACC000378,2024-01-01 21:27:00,Credit,UPI,MER0013,1461.19,INR,UPI,330192.02,SUCCESS,UPI Payment
TXN000000118,4DBF9493D5454373,ACC000024,2024-01-01 21:30:00,Credit,ATM,,8341.0,INR,ATM,234856.17,FAILED,ATM Withdrawal
TXN000000119,6E03EC8D1E0741B8,ACC000450,2024-01-01 21:31:00,Debit,ATM,,2238.24,INR,ATM,463781.27,SUCCESS,ATM Withdrawal
TXN000000120,80546F07045F4926,ACC000658,2024-01-01 21:46:00,Credit,Cash,,2469.06,INR,Cash,400593.46,SUCCESS,Cash Deposit
TXN000000121,9B310D47FD524E50,ACC000561,2024-01-01 21:51:00,Debit,Debit Card,MER0027,8698.34,INR,Debit Card,151515.15,SUCCESS,POS Purchase
TXN000000122,7455D07A0C8246E3,ACC000745,2024-01-01 21:58:00,Debit,NEFT,,10662.41,INR,NEFT,198274.29,SUCCESS,NEFT Transfer
TXN000000123,63EBB9BAC9CC4CC1,ACC000487,2024-01-01 22:03:00,Debit,UPI,MER0028,7235.85,INR,UPI,483314.08,SUCCESS,UPI Payment
TXN000000124,62D7921C2F964C2B,ACC000067,2024-01-01 22:24:00,Debit,UPI,MER0004,10865.38,INR,UPI,314121.44,SUCCESS,UPI Payment
TXN000000125,AB24A5589F1A49C7,ACC000707,2024-01-01 22:30:00,Debit,IMPS,,15886.19,INR,IMPS,42945.58,SUCCESS,IMPS Transfer
TXN000000126,AD2A486A98114EC5,ACC000655,2024-01-01 22:53:00,Debit,Debit Card,MER0018,16262.1,INR,Debit Card,141167.94,SUCCESS,POS Purchase
TXN000000127,7DEDF1357ACD413C,ACC000177,2024-01-01 23:09:00,Debit,ATM,,2752.76,INR,ATM,134085.6,FAILED,ATM Withdrawal
TXN000000128,8F13EA186BE5425C,ACC000477,2024-01-01 23:29:00,Debit,IMPS,,6772.27,INR,IMPS,529803.45,SUCCESS,IMPS Transfer
TXN000000129,C7A73B5475DE4E8A,ACC000171,2024-01-01 23:53:00,Debit,Cash,,1774.98,INR,Cash,163582.98,SUCCESS,Cash Deposit
TXN000000130,477F7A3E80C74EE7,ACC000563,2024-01-02 00:08:00,Debit,ATM,,4512.22,INR,ATM,5247.49,SUCCESS,ATM Withdrawal
TXN000000131,C42417A7125F41FA,ACC000679,2024-01-02 00:15:00,Debit,UPI,MER0018,16709.55,INR,UPI,138591.33,SUCCESS,UPI Payment
TXN000000132,F45D9BC3D9F24DCB,ACC000171,2024-01-02 00:31:00,Credit,Cash,,743.1,INR,Cash,169347.7,SUCCESS,Cash Deposit
TXN000000133,985077ED4BE34353,ACC000174,2024-01-02 00:34:00,Debit,ATM,,9245.75,INR,ATM,30968.75,SUCCESS,ATM Withdrawal
TXN000000134,4363686840EE4280,ACC000344,2024-01-02 00:43:00,Debit,Credit Card,MER0016,2802.17,INR,Credit Card,29841.09,SUCCESS,Card Payment
TXN000000135,23FBFCFD1C624FF6,ACC000231,2024-01-02 00:46:00,Debit,Credit Card,MER0034,13243.34,INR,Credit Card,43419.81,SUCCESS,Card Payment
TXN000000136,3AC69D88D5E342EC,ACC000771,2024-01-02 00:51:00,Credit,UPI,MER0012,9714.41,INR,UPI,31165.27,SUCCESS,UPI Payment
TXN000000137,AEE65C4C14B848FC,ACC000327,2024-01-02 00:58:00,Debit,IMPS,,8753.57,INR,IMPS,347357.19,SUCCESS,IMPS Transfer
TXN000000138,8B881D1EC97E4E8E,ACC000500,2024-01-02 01:09:00,Credit,Credit Card,MER0023,6375.61,INR,Credit Card,282084.41,SUCCESS,Card Payment
TXN000000139,A240AD8F4A584E02,ACC000637,2024-01-02 01:24:00,Debit,Mobile Banking,,18141.9,INR,Mobile Banking,551383.15,SUCCESS,Online Banking
TXN000000140,6797289DEEFE4E14,ACC000325,2024-01-02 01:26:00,Debit,ATM,,7112.65,INR,ATM,271225.11,SUCCESS,ATM Withdrawal
TXN000000141,648B98D102C3495D,ACC000247,2024-01-02 01:41:00,Debit,IMPS,,11357.79,INR,IMPS,626258.76,SUCCESS,IMPS Transfer
TXN000000142,6BD4E5EFCCE14B78,ACC000501,2024-01-02 01:46:00,Debit,IMPS,,8609.4,INR,IMPS,221164.19,SUCCESS,IMPS Transfer
TXN000000143,283C3B2247C3400E,ACC000193,2024-01-02 02:10:00,Debit,UPI,MER0041,1014.93,INR,UPI,250199.62,SUCCESS,UPI Payment
TXN000000144,1DC6ED49E3DF4FB5,ACC000786,2024-01-02 02:15:00,Debit,UPI,MER0037,2335.92,INR,UPI,42123.86,SUCCESS,UPI Payment
TXN000000145,24C58E6259434ED9,ACC000029,2024-01-02 02:27:00,Debit,UPI,MER0083,12600.57,INR,UPI,477690.46,FAILED,UPI Payment
TXN000000146,3A81DD1F82C0483D,ACC000754,2024-01-02 02:31:00,Credit,Mobile Banking,,12269.9,INR,Mobile Banking,41794.58,SUCCESS,Online Banking
TXN000000147,27A37718244949AC,ACC000634,2024-01-02 02:39:00,Debit,Cash,,13152.79,INR,Cash,500220.78,SUCCESS,Cash Deposit
TXN000000148,3242CE322C544217,ACC000260,2024-01-02 02:42:00,Debit,UPI,MER0073,18208.91,INR,UPI,16292.81,SUCCESS,UPI Payment
TXN000000149,63BA6D1C9DD84B68,ACC000034,2024-01-02 02:48:00,Credit,Cash,,18576.55,INR,Cash,561240.99,SUCCESS,Cash Deposit
TXN000000150,4443FF8F61BB4094,ACC000468,2024-01-02 02:48:00,Debit,Debit Card,MER0079,3206.94,INR,Debit Card,15548.4,SUCCESS,POS Purchase
TXN000000151,2095EF9B5A3E4387,ACC000436,2024-01-02 02:58:00,Credit,Cash,,8994.25,INR,Cash,61336.48,SUCCESS,Cash Deposit
TXN000000152,434F219C9C074B51,ACC000201,2024-01-02 03:07:00,Credit,UPI,MER0068,19242.76,INR,UPI,425367.51,SUCCESS,UPI Payment
TXN000000153,DC8045F8BA86422F,ACC000481,2024-01-02 03:19:00,Debit,NEFT,,10981.95,INR,NEFT,260727.01,SUCCESS,NEFT Transfer
TXN000000154,60DA3114A393423D,ACC000034,2024-01-02 03:20:00,Debit,IMPS,,5860.88,INR,IMPS,614381.98,SUCCESS,IMPS Transfer
TXN000000155,100EC81A37164F63,ACC000590,2024-01-02 03:37:00,Debit,IMPS,,19586.19,INR,IMPS,153220.78,SUCCESS,IMPS Transfer
TXN000000156,0D16DF8394EC4F94,ACC000691,2024-01-02 04:29:00,Debit,ATM,,14172.87,INR,ATM,26098.06,SUCCESS,ATM Withdrawal
TXN000000157,84C8D630ACA44312,ACC000456,2024-01-02 04:31:00,Debit,Debit Card,MER0054,534.95,INR,Debit Card,242415.02,SUCCESS,POS Purchase
TXN000000158,3EA522B61ED34E5F,ACC000528,2024-01-02 05:02:00,Credit,Mobile Banking,,811.96,INR,Mobile Banking,416258.0,SUCCESS,Online Banking
TXN000000159,1000857926D64085,ACC000386,2024-01-02 05:14:00,Debit,IMPS,,12464.29,INR,IMPS,368934.59,SUCCESS,IMPS Transfer
TXN000000160,9683A9D2A6CF4FCA,ACC000143,2024-01-02 05:26:00,Debit,Cash,,14823.05,INR,Cash,168248.09,SUCCESS,Cash Deposit
TXN000000161,265F15E7823440C1,ACC000248,2024-01-02 05:46:00,Debit,Credit Card,MER0027,11991.23,INR,Credit Card,209303.7,SUCCESS,Card Payment
TXN000000162,4567A0398D8D4A59,ACC000407,2024-01-02 05:54:00,Debit,ATM,,483.44,INR,ATM,98117.28,SUCCESS,ATM Withdrawal
TXN000000163,2685503CA8F04CED,ACC000184,2024-01-02 06:24:00,Debit,IMPS,,3975.85,INR,IMPS,441632.33,SUCCESS,IMPS Transfer
TXN000000164,5939C5C014DC42B1,ACC000782,2024-01-02 06:24:00,Debit,ATM,,1058.63,USD,ATM,370275.35,SUCCESS,ATM Withdrawal
TXN000000165,EBC5D7C5641947A0,ACC000062,2024-01-02 06:25:00,Credit,NEFT,,1896.39,INR,NEFT,400363.91,PENDING,NEFT Transfer
TXN000000166,711466CBB61443CE,ACC000661,2024-01-02 06:27:00,Debit,NEFT,,275.14,INR,NEFT,573286.45,FAILED,NEFT Transfer
TXN000000167,116454B180034520,ACC000460,2024-01-02 06:52:00,Debit,Mobile Banking,,1413.04,INR,Mobile Banking,135492.36,SUCCESS,Online Banking
TXN000000168,FB0A6F6586FA4A87,ACC000762,2024-01-02 07:14:00,Credit,Mobile Banking,,599.58,INR,Mobile Banking,573840.45,SUCCESS,Online Banking
