account_id,customer_id,branch_id,account_type,currency,opening_balance,current_balance,interest_rate,account_status,opened_date
ACC000055,CUST000152,BR003,Savings,INR,277651.83,294795.86,3.5,Active,2023-04-02
ACC000056,CUST000001,BR008,Savings,INR,152633.6,176197.54,3.5,Active,2022-08-12
ACC000057,CUST000407,BR002,Savings,INR,450689.23,679297.9,3.5,Active,2020-11-26
ACC000058,CUST000048,BR004,Savings,INR,409393.31,622291.66,3.5,Active,2022-06-25
ACC000059,CUST000244,BR007,Savings,INR,306025.71,524996.98,3.5,Active,2024-02-09
ACC000060,CUST000197,BR002,Current,INR,247694.21,283088.76,0.0,Active,2019-01-23
ACC000061,CUST000357,BR002,Current,INR,259460.92,227037.35,0.0,Active,2021-10-17
ACC000062,CUST000287,BR010,Savings,INR,298130.71,580644.57,3.5,Active,2023-12-18
ACC000063,CUST000465,BR008,Savings,INR,274388.1,538410.94,3.5,Active,2024-04-28
ACC000064,CUST000393,BR005,Savings,INR,389059.74,508668.7,3.5,Active,2021-09-06
ACC000065,CUST000172,BR003,Savings,INR,160535.07,299588.35,3.5,Active,2020-07-20
ACC000066,CUST000033,BR007,Current,INR,208019.08,273827.57,0.0,Active,2024-03-23
ACC000067,CUST000395,BR008,Savings,INR,292455.63,485888.68,3.5,Active,2023-04-08
ACC000068,CUST000437,BR008,Current,INR,445929.13,688434.16,0.0,Active,2021-06-22
ACC000069,CUST000173,BR008,Savings,INR,334767.94,564117.75,3.5,Closed,2020-11-07
ACC000070,CUST000465,BR002,Savings,INR,197616.11,345153.3,3.5,Active,2019-04-22
ACC000071,CUST000026,BR006,Savings,INR,130818.0,195391.43,3.5,Active,2024-02-06
ACC000072,CUST000488,BR008,Savings,INR,416130.22,454425.26,3.5,Active,2019-12-02
ACC000073,CUST000180,BR001,NRE,INR,112886.86,86903.29,4.0,Active,2019-06-14
ACC000074,CUST000079,BR010,Savings,INR,120033.93,235780.3,3.5,Active,2020-04-13
ACC000075,CUST000189,BR003,Savings,USD,84726.78,247263.4,3.5,Active,2020-04-14
ACC000076,CUST000160,BR007,Savings,INR,288322.57,556131.72,3.5,Active,2023-03-18
ACC000077,CUST000426,BR010,Savings,INR,313993.96,299659.42,3.5,Active,2022-05-20
ACC000078,CUST000022,BR002,Savings,INR,174254.68,274186.98,3.5,Active,2023-02-26
ACC000079,CUST000422,BR008,Current,INR,245610.65,347343.84,0.0,Active,2023-01-23
ACC000080,CUST000495,BR008,Current,INR,325578.25,491147.57,0.0,Active,2024-06-03
ACC000081,CUST000437,BR008,Savings,INR,123502.09,400619.75,3.5,Active,2022-02-16
ACC000082,CUST000195,BR003,Savings,INR,168861.91,291869.19,3.5,Active,2022-08-24
ACC000083,CUST000144,BR009,Savings,INR,440279.67,635693.98,3.5,Dormant,2022-02-05
ACC000084,CUST000369,BR008,Savings,INR,203807.63,348119.3,3.5,Active,2021-09-11
ACC000085,CUST000048,BR005,Current,INR,147823.56,239363.96,0.0,Active,2021-09-23
ACC000086,CUST000177,BR006,Savings,INR,213326.4,424403.8,3.5,Active,2022-09-16
ACC000087,CUST000062,BR004,Savings,INR,360920.88,421362.66,3.5,Active,2021-01-28
ACC000088,CUST000390,BR004,Current,INR,262793.8,311843.35,0.0,Active,2020-02-16
ACC000089,CUST000363,BR009,Savings,INR,267533.41,313542.37,3.5,Dormant,2019-08-12
ACC000090,CUST000386,BR008,Savings,INR,245948.47,501400.38,3.5,Active,2022-03-10
ACC000091,CUST000130,BR007,NRE,INR,470590.73,587795.95,4.0,Active,2019-09-25
ACC000092,CUST000078,BR002,Savings,USD,75449.59,222443.45,3.5,Active,2022-05-29
ACC000093,CUST000311,BR007,Current,INR,298467.3,464913.72,0.0,Active,2024-11-10
ACC000094,CUST000220,BR004,Salary,INR,153384.74,320744.3,3.0,Active,2020-02-11
ACC000095,CUST000123,BR007,Savings,INR,87732.96,64005.66,3.5,Active,2019-01-11
ACC000096,CUST000119,BR002,Savings,INR,144764.34,193715.77,3.5,Dormant,2024-02-03
ACC000097,CUST000321,BR007,Current,INR,295305.01,526672.0,0.0,Active,2021-03-21
ACC000098,CUST000137,BR005,Savings,INR,413488.95,388482.39,3.5,Active,2020-11-10
ACC000099,CUST000225,BR005,Salary,INR,63052.48,254089.78,3.0,Active,2023-07-07
ACC000100,CUST000021,BR001,Savings,INR,444822.02,651908.89,3.5,Dormant,2021-10-22
ACC000101,CUST000295,BR010,Current,INR,293974.34,251235.25,0.0,Active,2022-01-08
ACC000102,CUST000334,BR008,Savings,USD,221672.47,269027.27,3.5,Active,2023-11-21
ACC000103,CUST000165,BR007,Savings,INR,335396.62,585603.2,3.5,Active,2022-09-12
ACC000104,CUST000417,BR006,Salary,INR,380489.39,343333.39,3.0,Active,2019-12-27
ACC000105,CUST000443,BR007,Current,INR,257783.53,553625.26,0.0,Active,2024-03-07
ACC000106,CUST000256,BR005,Savings,INR,313078.96,529075.65,3.5,Dormant,2021-04-13
ACC000107,CUST000358,BR003,Savings,INR,242871.19,202975.49,3.5,Active,2021-09-07
ACC000108,CUST000116,BR002,Savings,INR,496136.31,765661.77,3.5,Active,2024-03-05
ACC000109,CUST000150,BR008,Salary,INR,254927.14,300625.85,3.0,Active,2024-05-30
ACC000110,CUST000472,BR002,Savings,INR,300089.42,511291.81,3.5,Active,2020-07-13
ACC000111,CUST000479,BR005,Savings,INR,394070.99,437581.42,3.5,Active,2019-01-11
ACC000112,CUST000338,BR006,Savings,INR,245330.53,247338.93,3.5,Active,2024-06-06
ACC000113,CUST000478,BR010,Savings,INR,161566.9,177595.23,3.5,Active,2021-09-05
ACC000114,CUST000163,BR007,Savings,USD,372607.87,569437.63,3.5,Active,2023-04-11
ACC000115,CUST000078,BR010,Savings,INR,248169.0,211125.86,3.5,Active,2024-08-19
ACC000116,CUST000052,BR007,Current,INR,263449.59,373374.42,0.0,Dormant,2020-08-13
ACC000117,CUST000401,BR002,Savings,INR,484632.61,553129.04,3.5,Active,2023-06-17
ACC000118,CUST000195,BR009,Salary,INR,477115.66,646495.37,3.0,Active,2024-06-21
ACC000119,CUST000472,BR007,Savings,USD,144402.12,174022.32,3.5,Active,2020-01-06
ACC000120,CUST000052,BR001,Current,INR,222395.6,415296.01,0.0,Active,2019-04-29
ACC000121,CUST000221,BR003,Savings,INR,73639.33,209547.54,3.5,Active,2021-01-07
ACC000122,CUST000350,BR004,Savings,INR,121174.07,390664.23,3.5,Active,2020-08-09
ACC000123,CUST000005,BR009,Savings,INR,449555.36,562394.0,3.5,Active,2022-03-24
ACC000124,CUST000301,BR008,Savings,INR,150277.97,436988.15,3.5,Active,2021-10-21
ACC000125,CUST000248,BR010,Savings,INR,54219.98,137697.48,3.5,Active,2023-01-10
ACC000126,CUST000425,BR010,Savings,INR,329456.68,375524.81,3.5,Active,2019-07-20
ACC000127,CUST000398,BR004,Salary,INR,399631.2,562103.95,3.0,Active,2022-12-14
ACC000128,CUST000370,BR002,Savings,INR,383967.92,572267.2,3.5,Active,2020-07-14
ACC000129,CUST000226,BR002,Savings,INR,17648.9,95350.33,3.5,Active,2020-06-22
ACC000130,CUST000103,BR009,Savings,INR,66947.74,205740.46,3.5,Active,2023-02-07
ACC000131,CUST000468,BR006,Savings,INR,412520.22,531166.96,3.5,Active,2022-04-23
ACC000132,CUST000387,BR009,Savings,INR,483283.6,734332.81,3.5,Active,2023-06-16
ACC000133,CUST000275,BR010,Savings,INR,62670.78,141675.76,3.5,Active,2021-12-09
ACC000134,CUST000346,BR010,Savings,INR,117677.13,76435.76,3.5,Active,2022-09-05
ACC000135,CUST000466,BR003,Current,INR,350837.51,528071.32,0.0,Active,2020-04-22
ACC000136,CUST000060,BR007,NRE,INR,49498.81,310039.57,4.0,Active,2020-07-09
ACC000137,CUST000485,BR007,Current,INR,270556.06,426125.18,0.0,Active,2020-09-24
ACC000138,CUST000481,BR004,Savings,INR,475809.24,437259.94,3.5,Dormant,2023-02-26
ACC000139,CUST000051,BR001,Salary,INR,490482.93,569050.17,3.0,Active,2023-01-09
ACC000140,CUST000435,BR010,Savings,USD,412271.35,394357.05,3.5,Active,2021-05-18
ACC000141,CUST000065,BR010,Savings,INR,393702.07,415524.02,3.5,Active,2021-04-28
ACC000142,CUST000076,BR003,Savings,USD,394533.23,553126.8,3.5,Active,2022-02-09
ACC000143,CUST000057,BR006,Current,INR,330867.76,289890.81,0.0,Active,2019-03-02
ACC000144,CUST000090,BR009,Savings,INR,133418.39,127783.88,3.5,Active,2023-09-21
ACC000145,CUST000186,BR004,Savings,INR,257105.74,245274.64,3.5,Active,2024-08-25
ACC000146,CUST000444,BR001,Current,USD,329792.63,385363.25,0.0,Active,2019-05-08
ACC000147,CUST000056,BR002,Savings,INR,245644.16,514039.45,3.5,Active,2019-10-29
ACC000148,CUST000320,BR007,Savings,USD,316905.29,458830.04,3.5,Active,2022-08-24
ACC000149,CUST000310,BR009,Savings,INR,215669.46,443253.09,3.5,Active,2020-04-13
ACC000150,CUST000117,BR007,Savings,INR,207492.97,447089.7,3.5,Active,2023-06-22
ACC000151,CUST000131,BR002,Savings,INR,187776.21,191199.83,3.5,Active,2024-04-26
ACC000152,CUST000382,BR010,Savings,USD,369659.2,603778.45,3.5,Active,2019-09-03
ACC000153,CUST000211,BR001,Savings,USD,177445.44,360314.62,3.5,Active,2023-09-29
ACC000154,CUST000296,BR004,Savings,INR,254198.86,258354.42,3.5,Active,2024-05-29
ACC000155,CUST000059,BR009,Savings,USD,381540.21,532475.21,3.5,Active,2023-10-24
ACC000156,CUST000330,BR001,Savings,INR,278813.14,441961.36,3.5,Active,2021-12-31
ACC000157,CUST000174,BR010,Savings,INR,176160.69,189652.64,3.5,Active,2020-08-09
ACC000158,CUST000498,BR007,Current,INR,16297.89,227437.01,0.0,Active,2021-05-31
ACC000159,CUST000370,BR001,Savings,INR,162867.06,442359.66,3.5,Active,2019-12-14
ACC000160,CUST000042,BR010,Savings,INR,136779.32,318457.86,3.5,Active,2024-06-12
ACC000161,CUST000059,BR009,Current,INR,173241.25,162052.67,0.0,Active,2024-06-16
ACC000162,CUST000307,BR003,Savings,INR,28336.2,49884.29,3.5,Active,2021-05-15
ACC000163,CUST000255,BR009,Savings,INR,373760.05,385253.23,3.5,Active,2023-04-07
ACC000164,CUST000413,BR007,Current,INR,177729.42,266704.33,0.0,Dormant,2019-06-23
ACC000165,CUST000295,BR005,Salary,INR,215212.86,306760.87,3.0,Active,2023-09-07
ACC000166,CUST000411,BR002,Savings,INR,473859.54,584893.46,3.5,Active,2023-01-22
ACC000167,CUST000206,BR006,Savings,INR,262457.31,350975.65,3.5,Active,2022-06-24
ACC000168,CUST000325,BR006,Savings,INR,57899.29,186382.51,3.5,Active,2022-12-02
ACC000169,CUST000121,BR010,Current,INR,52299.46,91888.34,0.0,Active,2020-12-11
ACC000170,CUST000488,BR010,Savings,INR,386651.2,509592.16,3.5,Closed,2024-01-13
ACC000171,CUST000498,BR008,Savings,INR,313981.49,316816.58,3.5,Active,2019-10-07
ACC000172,CUST000029,BR008,Savings,INR,176619.17,152585.9,3.5,Active,2024-03-06
ACC000173,CUST000331,BR007,Savings,INR,432260.77,681613.45,3.5,Active,2024-09-07
ACC000174,CUST000459,BR006,Current,INR,21470.33,289637.81,0.0,Active,2021-02-10
ACC000175,CUST000231,BR002,NRE,INR,52647.44,317341.83,4.0,Active,2022-11-07
ACC000176,CUST000225,BR006,Savings,INR,495502.03,628926.02,3.5,Active,2020-10-12
ACC000177,CUST000174,BR002,Savings,INR,339769.96,308097.89,3.5,Active,2022-10-02
ACC000178,CUST000130,BR006,Savings,INR,362143.09,541940.52,3.5,Active,2020-09-07
ACC000179,CUST000159,BR003,Salary,INR,483880.56,678348.55,3.0,Dormant,2023-05-25
ACC000180,CUST000193,BR009,Savings,INR,322103.14,387069.93,3.5,Active,2020-06-07
ACC000181,CUST000010,BR006,Savings,INR,181936.24,195028.26,3.5,Active,2021-05-27
ACC000182,CUST000071,BR009,Savings,INR,78317.64,131844.88,3.5,Active,2020-02-19
ACC000183,CUST000020,BR010,Salary,INR,331302.69,588040.16,3.0,Active,2020-06-20
ACC000184,CUST000395,BR001,Current,INR,312745.5,578675.09,0.0,Active,2023-11-28
ACC000185,CUST000228,BR004,Savings,INR,305687.12,519024.03,3.5,Active,2024-01-13
ACC000186,CUST000241,BR008,Current,INR,452083.19,469988.85,0.0,Active,2023-12-10
ACC000187,CUST000215,BR005,Savings,INR,483167.81,719079.74,3.5,Active,2020-07-20
ACC000188,CUST000479,BR005,Savings,INR,52192.28,298254.58,3.5,Active,2020-05-25
ACC000189,CUST000263,BR008,Savings,INR,74526.98,177642.38,3.5,Dormant,2021-06-28
ACC000190,CUST000203,BR006,Savings,INR,251501.55,284023.88,3.5,Active,2019-12-01
ACC000191,CUST000366,BR001,Savings,INR,325330.38,552313.6,3.5,Active,2020-07-17
ACC000192,CUST000072,BR002,Savings,INR,379661.74,493850.28,3.5,Active,2019-01-22
ACC000193,CUST000482,BR005,Savings,INR,363890.16,498610.19,3.5,Active,2020-03-31
ACC000194,CUST000328,BR008,Savings,INR,397155.66,507145.43,3.5,Active,2020-03-30
ACC000195,CUST000124,BR010,Savings,INR,359553.62,411498.82,3.5,Active,2019-01-07
ACC000196,CUST000343,BR009,Savings,INR,43721.36,334850.43,3.5,Active,2019-10-05
ACC000197,CUST000011,BR006,Savings,INR,195836.41,310383.69,3.5,Active,2023-05-04
ACC000198,CUST000177,BR010,Current,INR,121321.84,301308.38,0.0,Active,2020-02-29
ACC000199,CUST000280,BR008,Savings,INR,169935.08,344913.55,3.5,Active,2024-03-18
ACC000200,CUST000398,BR001,Savings,INR,471858.97,434803.3,3.5,Active,2021-04-05
ACC000201,CUST000159,BR005,Savings,INR,258176.41,554369.36,3.5,Active,2024-04-23
ACC000202,CUST000442,BR005,Savings,INR,390639.94,643669.34,3.5,Active,2022-09-21
ACC000203,CUST000381,BR003,Salary,INR,220428.58,505196.13,3.0,Active,2022-10-20
ACC000204,CUST000266,BR002,Salary,INR,134093.63,113007.66,3.0,Closed,2023-10-05
ACC000205,CUST000151,BR005,Savings,INR,161284.5,139308.62,3.5,Active,2022-04-25
ACC000206,CUST000228,BR010,Savings,USD,176421.94,141246.25,3.5,Active,2022-12-15
ACC000207,CUST000486,BR006,NRE,INR,29621.67,214536.03,4.0,Active,2023-07-22
ACC000208,CUST000016,BR001,Savings,INR,72246.95,234897.47,3.5,Active,2023-11-30
ACC000209,CUST000186,BR008,Savings,INR,192044.35,340579.97,3.5,Active,2020-09-20
ACC000210,CUST000294,BR005,Current,INR,69709.86,148142.34,0.0,Active,2022-07-11
ACC000211,CUST000256,BR005,Current,INR,259354.89,529094.77,0.0,Active,2020-04-27
ACC000212,CUST000314,BR004,Savings,INR,143502.86,414270.48,3.5,Active,2024-07-04
ACC000213,CUST000461,BR006,Savings,INR,356971.58,656013.42,3.5,Active,2022-08-02
ACC000214,CUST000154,BR006,Savings,INR,425829.66,624962.85,3.5,Active,2020-12-14
ACC000215,CUST000072,BR009,Savings,INR,119131.36,242039.04,3.5,Active,2023-01-18
ACC000216,CUST000067,BR007,NRE,USD,306362.23,286537.65,4.0,Active,2022-06-20
ACC000217,CUST000394,BR006,Savings,INR,205307.33,356522.51,3.5,Active,2020-05-28
ACC000218,CUST000177,BR003,Savings,INR,65038.97,305207.77,3.5,Active,2021-01-15
ACC000219,CUST000064,BR006,Savings,INR,259532.96,315976.55,3.5,Active,2020-10-25
ACC000220,CUST000266,BR004,Salary,INR,447568.03,693644.83,3.0,Active,2021-10-23
ACC000221,CUST000156,BR010,Savings,INR,307599.71,290299.65,3.5,Active,2020-11-21
ACC000222,CUST000369,BR001,Savings,INR,451098.45,519265.31,3.5,Dormant,2019-06-18
ACC000223,CUST000136,BR010,Current,INR,325913.86,544349.51,0.0,Active,2023-09-03
ACC000224,CUST000149,BR007,Savings,INR,321311.74,377044.68,3.5,Active,2021-09-30
ACC000225,CUST000226,BR010,Savings,INR,208395.25,320950.01,3.5,Active,2022-10-25
ACC000226,CUST000441,BR009,Savings,INR,173339.91,262890.72,3.5,Active,2023-02-26
ACC000227,CUST000137,BR005,Savings,INR,225348.41,224655.58,3.5,Active,2019-07-27
ACC000228,CUST000493,BR010,Savings,INR,432788.44,438683.32,3.5,Active,2022-09-03
ACC000229,CUST000264,BR001,Savings,INR,233940.74,491617.22,3.5,Active,2024-07-30
ACC000230,CUST000124,BR005,Savings,INR,108357.07,181870.35,3.5,Active,2019-07-27
ACC000231,CUST000241,BR007,Savings,INR,143588.44,96450.53,3.5,Active,2020-03-16
ACC000232,CUST000207,BR006,Savings,INR,183602.74,273806.31,3.5,Active,2021-03-08
ACC000233,CUST000392,BR003,Savings,USD,275378.69,514237.65,3.5,Active,2020-05-01
ACC000234,CUST000174,BR004,Current,INR,279358.09,357320.32,0.0,Active,2020-08-13
ACC000235,CUST000020,BR009,Savings,INR,69381.15,135945.4,3.5,Active,2024-04-24
ACC000236,CUST000168,BR010,Savings,INR,465753.0,527238.51,3.5,Active,2023-05-29
ACC000237,CUST000425,BR008,Savings,INR,255347.34,376793.67,3.5,Active,2022-05-12
ACC000238,CUST000214,BR010,Savings,INR,292267.37,521131.55,3.5,Dormant,2019-04-20
ACC000239,CUST000398,BR010,Current,INR,289658.69,319298.82,0.0,Active,2019-07-30
ACC000240,CUST000397,BR001,Current,INR,420742.4,422463.9,0.0,Active,2021-09-19
ACC000241,CUST000226,BR007,Savings,INR,157532.55,160533.49,3.5,Active,2021-04-15
ACC000242,CUST000435,BR009,Savings,INR,368182.8,339981.25,3.5,Active,2020-07-19
ACC000243,CUST000270,BR009,Savings,INR,189035.56,473875.48,3.5,Active,2024-02-26
ACC000244,CUST000370,BR010,Current,INR,340692.2,571970.59,0.0,Dormant,2021-12-18
ACC000245,CUST000153,BR005,Savings,INR,113208.65,403727.37,3.5,Active,2022-05-04
ACC000246,CUST000246,BR005,Savings,INR,175052.78,451847.91,3.5,Active,2022-01-25
ACC000247,CUST000203,BR005,Savings,INR,409370.35,693483.45,3.5,Dormant,2020-08-22
ACC000248,CUST000474,BR004,Savings,INR,221745.68,261501.07,3.5,Active,2024-05-16
ACC000249,CUST000357,BR004,Salary,INR,136539.11,124768.41,3.0,Active,2021-09-07
ACC000250,CUST000120,BR002,Savings,INR,27193.06,121848.54,3.5,Active,2024-04-18
ACC000251,CUST000476,BR008,NRE,INR,79812.6,258325.08,4.0,Active,2024-05-02
ACC000252,CUST000147,BR010,Savings,INR,323303.06,591081.0,3.5,Active,2020-01-02
ACC000253,CUST000020,BR001,Salary,USD,456701.63,467974.3,3.0,Active,2020-12-21
ACC000254,CUST000480,BR001,Savings,INR,374752.6,630054.34,3.5,Active,2022-03-31
ACC000255,CUST000172,BR008,Savings,INR,142996.26,439181.07,3.5,Active,2024-11-17
ACC000256,CUST000140,BR008,Savings,INR,97212.89,86639.26,3.5,Active,2020-10-27
ACC000257,CUST000173,BR003,Savings,INR,395593.06,544316.49,3.5,Active,2021-03-02
ACC000258,CUST000219,BR003,Savings,USD,258125.05,238483.27,3.5,Active,2020-01-26
ACC000259,CUST000004,BR006,Salary,INR,131131.85,163564.29,3.0,Active,2021-12-29
ACC000260,CUST000335,BR008,Savings,INR,180416.49,213122.39,3.5,Active,2020-04-29
ACC000261,CUST000459,BR005,Savings,INR,444012.91,663457.28,3.5,Active,2020-04-25
ACC000262,CUST000245,BR007,NRE,INR,77439.6,289146.79,4.0,Active,2023-03-11
ACC000263,CUST000411,BR010,Current,INR,332383.13,358827.2,0.0,Active,2021-10-10
ACC000264,CUST000361,BR001,Savings,INR,181530.65,452566.3,3.5,Active,2020-04-04
ACC000265,CUST000275,BR008,Savings,INR,75776.34,140617.51,3.5,Active,2024-11-01
ACC000266,CUST000047,BR008,Savings,INR,449545.79,555464.73,3.5,Active,2019-08-16
ACC000267,CUST000287,BR007,Savings,INR,231726.77,464147.14,3.5,Active,2019-03-31
ACC000268,CUST000038,BR009,Savings,USD,23599.61,94184.71,3.5,Dormant,2019-09-19
ACC000269,CUST000479,BR003,Savings,INR,236563.53,287045.28,3.5,Closed,2021-01-07
ACC000270,CUST000216,BR007,Savings,INR,187856.0,449822.76,3.5,Active,2024-01-12
ACC000271,CUST000277,BR003,Savings,USD,67361.91,318462.21,3.5,Active,2020-04-30
ACC000272,CUST000115,BR008,Savings,INR,417575.98,632238.78,3.5,Active,2022-05-07
ACC000273,CUST000422,BR005,Savings,INR,115602.37,226821.22,3.5,Active,2020-09-27
ACC000274,CUST000017,BR004,Current,INR,404929.61,501663.82,0.0,Active,2019-03-06
ACC000275,CUST000307,BR001,Savings,INR,336339.79,591614.14,3.5,Active,2021-09-29
ACC000276,CUST000443,BR004,Savings,INR,388255.75,387303.2,3.5,Active,2022-03-30
ACC000277,CUST000307,BR005,Savings,INR,386496.57,622930.44,3.5,Closed,2021-08-28
ACC000278,CUST000212,BR007,Savings,INR,150949.98,122285.15,3.5,Active,2020-12-18
ACC000279,CUST000330,BR007,Savings,INR,335999.92,561031.53,3.5,Active,2022-07-29
ACC000280,CUST000276,BR003,Savings,INR,237285.89,484555.22,3.5,Active,2022-05-16
ACC000281,CUST000496,BR004,Savings,INR,208837.43,344334.56,3.5,Active,2023-05-10
ACC000282,CUST000231,BR001,Savings,INR,423719.56,406081.96,3.5,Active,2021-02-19
ACC000283,CUST000448,BR008,Savings,INR,37319.38,268947.1,3.5,Active,2021-06-07
ACC000284,CUST000466,BR008,Savings,INR,8651.52,286657.44,3.5,Active,2020-04-25
ACC000285,CUST000204,BR007,Current,INR,457648.1,600875.85,0.0,Active,2022-03-05
ACC000286,CUST000185,BR008,Savings,INR,256895.45,380942.5,3.5,Active,2020-02-08
ACC000287,CUST000161,BR003,Savings,INR,207551.16,354434.81,3.5,Active,2021-06-25
ACC000288,CUST000369,BR004,Savings,INR,209371.46,212715.45,3.5,Active,2022-09-13
ACC000289,CUST000336,BR008,Savings,INR,471788.81,539936.31,3.5,Active,2024-06-24
ACC000290,CUST000072,BR009,Savings,INR,360436.45,481347.16,3.5,Active,2019-08-29
ACC000291,CUST000343,BR004,Salary,INR,25208.68,0.0,3.0,Active,2020-07-17
ACC000292,CUST000234,BR008,Savings,INR,187227.15,353469.48,3.5,Active,2024-06-02
ACC000293,CUST000009,BR001,Savings,INR,265179.41,311338.67,3.5,Active,2022-03-20
ACC000294,CUST000482,BR009,Savings,INR,454976.91,442432.66,3.5,Active,2020-01-30
ACC000295,CUST000418,BR006,Savings,USD,177866.11,406093.83,3.5,Active,2019-11-20
